Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704664285,0,0,0,0,0,0,0,0,0,0,45.93320846557617,43.60700225830078,42.88299560546875,46.24409866333008,44.191131591796875,42.49415969848633,40.67936325073242,40.66069030761719,42.905033111572266,42.01378631591797,46.30418014526367,45.35933303833008,14.999820709228516,8.802743911743164,5.085469722747803,3.5080597400665283,2.9661736488342285,1.5792608261108398,1.105289340019226,0.9461374878883362,11.243224143981934,34359738368,0,10129670144,0
103,1697704664285,0,0,0,0,0,0,0,0,0,0,45.93320846557617,43.60700225830078,42.88299560546875,46.24409866333008,44.191131591796875,42.49415969848633,40.67936325073242,40.66069030761719,42.905033111572266,42.01378631591797,46.30418014526367,45.35932922363281,14.999818801879883,8.802756309509277,5.0854692459106445,3.50805926322937,2.9661734104156494,1.5792605876922607,1.1052892208099365,0.9461374282836914,11.243224143981934,34359738368,0,10130489344,0
104,1697704664388,0,0,0,0,0,0,0,0,0,0,45.815364837646484,43.63455581665039,42.83832550048828,46.37498092651367,44.0340576171875,42.46615982055664,40.684967041015625,40.58534240722656,42.907894134521484,41.78118896484375,46.30418014526367,45.35932922363281,14.999837875366211,8.80282211303711,5.085475444793701,3.5080678462982178,2.9661693572998047,1.5792584419250488,1.1052876710891724,0.9461359977722168,11.243224143981934,34359738368,0,10151968768,0
103,1697704664493,0,0,0,0,0,0,0,0,0,0,45.815364837646484,43.63455581665039,42.83832550048828,46.37498092651367,44.0340576171875,42.46615982055664,40.684967041015625,40.58534240722656,42.907894134521484,41.78118896484375,46.30421829223633,45.35935592651367,14.999924659729004,8.802902221679688,5.08553409576416,3.508115530014038,2.9662179946899414,1.5792955160140991,1.10532546043396,0.9461480379104614,11.243224143981934,34359738368,0,10230579200,0
102,1697704664597,0,0,0,0,0,0,0,0,0,0,45.815364837646484,43.63455581665039,42.83832550048828,46.37498092651367,44.0340576171875,42.46615982055664,40.684967041015625,40.58534240722656,42.907894134521484,41.78118896484375,46.304298400878906,45.359432220458984,15.000009536743164,8.802969932556152,5.085619926452637,3.5082287788391113,2.966306209564209,1.5793852806091309,1.1054025888442993,0.9461992383003235,11.243224143981934,34359738368,0,10353803264,0
103,1697704664701,0,0,0,0,0,0,0,0,0,0,45.815364837646484,43.63455581665039,42.83832550048828,46.37498092651367,44.0340576171875,42.46615982055664,40.684967041015625,40.58534240722656,42.907894134521484,41.78118896484375,46.30436706542969,45.3595085144043,15.000079154968262,8.80305004119873,5.085691928863525,3.5082895755767822,2.9663541316986084,1.5794227123260498,1.1054142713546753,0.9462502002716064,11.243224143981934,34359738368,0,10415325184,0
99,1697704664805,0,0,0,0,0,0,0,0,0,0,45.815364837646484,43.63455581665039,42.83832550048828,46.37498092651367,44.0340576171875,42.46615982055664,40.684967041015625,40.58534240722656,42.907894134521484,41.78118896484375,46.30442428588867,45.35956573486328,15.000152587890625,8.803130149841309,5.085775852203369,3.50832462310791,2.9663898944854736,1.5794466733932495,1.1054258346557617,0.9462490677833557,11.900938034057617,34359738368,0,10457169920,0
104,1697704664905,0,0,0,0,0,0,0,0,0,0,45.815364837646484,43.63455581665039,42.83832550048828,46.37498092651367,44.0340576171875,42.46615982055664,40.684967041015625,40.58534240722656,42.907894134521484,41.78118896484375,46.304443359375,45.359619140625,15.000211715698242,8.803132057189941,5.085782527923584,3.5083200931549072,2.966385841369629,1.5794445276260376,1.1054245233535767,0.9462478756904602,11.900938034057617,34359738368,0,10457448448,0
107,1697704665010,0,0,0,0,0,0,0,0,0,0,45.815364837646484,43.63455581665039,42.83832550048828,46.37498092651367,44.0340576171875,42.46615982055664,40.684967041015625,40.58534240722656,42.907894134521484,41.78118896484375,46.304447174072266,45.35963439941406,15.000310897827148,8.8031587600708,5.085775852203369,3.5083155632019043,2.9663820266723633,1.5794422626495361,1.1054229736328125,0.9462464451789856,11.900938034057617,34359738368,0,10454827008,0
99,1697704665118,0,0,0,0,0,0,0,0,0,0,45.815364837646484,43.63455581665039,42.83832550048828,46.37498092651367,44.0340576171875,42.46615982055664,40.684967041015625,40.58534240722656,42.907894134521484,41.78118896484375,46.304473876953125,45.35969543457031,15.000407218933105,8.803159713745117,5.085782051086426,3.5083229541778564,2.9663777351379395,1.5794399976730347,1.1054214239120483,0.9462452530860901,11.900938034057617,34359738368,0,10454827008,0
