Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704708715,0,0,0,0,0,0,0,0,0,0,45.815093994140625,43.76587677001953,43.70368957519531,46.47425842285156,44.578941345214844,43.128150939941406,41.271663665771484,40.97732925415039,43.6448974609375,42.24523162841797,46.29578399658203,45.3513069152832,14.999503135681152,8.800804138183594,5.084251403808594,3.507209539413452,2.965416669845581,1.578944206237793,1.1051567792892456,0.9460322856903076,11.266181945800781,34359738368,0,10025172992,0
104,1697704708715,0,0,0,0,0,0,0,0,0,0,45.815093994140625,43.76587677001953,43.70368957519531,46.47425842285156,44.578941345214844,43.128150939941406,41.271663665771484,40.97732925415039,43.6448974609375,42.24523162841797,46.295780181884766,45.3513069152832,14.99951171875,8.800816535949707,5.084250450134277,3.507209300994873,2.9654159545898438,1.5789439678192139,1.105156660079956,0.9460321664810181,11.266181945800781,34359738368,0,10025992192,0
104,1697704708820,0,0,0,0,0,0,0,0,0,0,45.815093994140625,43.76587677001953,43.70368957519531,46.47425842285156,44.578941345214844,43.128150939941406,41.271663665771484,40.97732925415039,43.6448974609375,42.24523162841797,46.295799255371094,45.35132598876953,14.999530792236328,8.800883293151855,5.0842437744140625,3.50720477104187,2.9654245376586914,1.5789415836334229,1.1051549911499023,0.9460307359695435,11.918041229248047,34359738368,0,10054451200,0
104,1697704708925,0,0,0,0,0,0,0,0,0,0,45.815093994140625,43.76587677001953,43.70368957519531,46.47425842285156,44.578941345214844,43.128150939941406,41.271663665771484,40.97732925415039,43.6448974609375,42.24523162841797,46.29583740234375,45.35136413574219,14.999602317810059,8.80093765258789,5.084316730499268,3.507265090942383,2.9654603004455566,1.5789918899536133,1.1051669120788574,0.9460556507110596,11.918041229248047,34359738368,0,10063216640,0
104,1697704709030,0,0,0,0,0,0,0,0,0,0,45.815093994140625,43.76587677001953,43.70368957519531,46.47425842285156,44.578941345214844,43.128150939941406,41.271663665771484,40.97732925415039,43.6448974609375,42.24523162841797,46.29590606689453,45.351436614990234,14.999687194824219,8.801018714904785,5.0844011306762695,3.507338762283325,2.965548276901245,1.5790421962738037,1.105217695236206,0.9460806846618652,11.918041229248047,34359738368,0,10063216640,0
101,1697704709135,0,0,0,0,0,0,0,0,0,0,45.815093994140625,43.76587677001953,43.70368957519531,46.47425842285156,44.578941345214844,43.128150939941406,41.271663665771484,40.97732925415039,43.6448974609375,42.24523162841797,46.295963287353516,45.351497650146484,14.999747276306152,8.801111221313477,5.08448600769043,3.5073869228363037,2.9656097888946533,1.5790925025939941,1.1052556037902832,0.9461318254470825,11.918041229248047,34359738368,0,10063216640,0
104,1697704709237,0,0,0,0,0,0,0,0,0,0,45.815093994140625,43.76587677001953,43.70368957519531,46.47425842285156,44.578941345214844,43.128150939941406,41.271663665771484,40.97732925415039,43.6448974609375,42.24523162841797,46.29599380493164,45.3515625,14.999818801879883,8.801190376281738,5.084558010101318,3.5074219703674316,2.9656450748443604,1.5791164636611938,1.1053063869476318,0.9461697340011597,11.918041229248047,34359738368,0,10063216640,0
104,1697704709342,0,0,0,0,0,0,0,0,0,0,45.815093994140625,43.76587677001953,47.95951843261719,50.54240798950195,44.578941345214844,43.128150939941406,41.271663665771484,40.97732925415039,43.6448974609375,42.24523162841797,46.29602813720703,45.35158157348633,14.999823570251465,8.801203727722168,5.0845513343811035,3.5074169635772705,2.965653896331787,1.5791144371032715,1.1053048372268677,0.9461684226989746,11.918041229248047,34359738368,0,10063216640,0
104,1697704709447,0,0,0,0,0,0,0,0,0,0,48.18521499633789,45.297061920166016,47.95951843261719,50.54240798950195,48.42095947265625,46.39675521850586,44.216278076171875,44.45090103149414,46.02927017211914,44.70410919189453,46.2960319519043,45.3515739440918,14.99981689453125,8.801192283630371,5.0845441818237305,3.5074121952056885,2.9656500816345215,1.57911217212677,1.105303406715393,0.9461672306060791,11.918041229248047,34359738368,0,10063216640,0
99,1697704709552,0,0,0,0,0,0,0,0,0,0,48.18521499633789,45.297061920166016,47.95951843261719,50.54240798950195,48.42095947265625,46.39675521850586,44.216278076171875,44.45090103149414,46.02927017211914,44.70410919189453,46.296016693115234,45.3515510559082,14.999810218811035,8.80118179321289,5.084537506103516,3.5074074268341064,2.9656457901000977,1.5791101455688477,1.105301856994629,0.9461658000946045,11.918041229248047,34359738368,0,10063216640,0
