Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704834926,0,0,0,0,0,0,0,0,0,0,0,0,38,37,36,37,37,36,24.718706130981445,0.9791254997253418,4.666787147521973,0.9617519378662109,19.47783088684082,0.9784039258956909,14.925968170166016,0.9754493832588196,10.482539176940918,0.9712671637535095,8.41832160949707,0.966149091720581,8.150516510009766,17179869184,2147483648,8938024960,432537600
101,1697704834927,0,0,0,0,0,0,0,0,0,0,0,0,38,37,36,37,37,36,24.718759536743164,0.979124128818512,4.666780471801758,0.9617505669593811,19.477815628051758,0.9784031510353088,14.925958633422852,0.9754480123519897,10.482523918151855,0.9712664484977722,8.418315887451172,0.9661483764648438,8.150516510009766,17179869184,2147483648,8938336256,432537600
103,1697704835029,0,0,0,0,0,0,0,0,0,0,0,0,38,37,36,37,37,36,24.71863555908203,0.9791170954704285,4.666746616363525,0.9617436528205872,19.477733612060547,0.9783960580825806,14.925850868225098,0.9754409193992615,10.48244857788086,0.9712594747543335,8.418248176574707,0.9661414623260498,8.150516510009766,17179869184,2147483648,8910401536,432537600
99,1697704835133,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,36,24.718530654907227,0.979110062122345,4.666713237762451,0.9617366790771484,19.477664947509766,0.9783883690834045,14.92573356628418,0.9754339456558228,10.482372283935547,0.9712517261505127,8.418187141418457,0.966133713722229,8.150516510009766,17179869184,2147483648,8910401536,432537600
104,1697704835233,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,36,24.718496322631836,0.9791029691696167,4.666679859161377,0.9617297649383545,19.47752571105957,0.9783812761306763,14.925697326660156,0.9754268527030945,10.48229694366455,0.971244752407074,8.418127059936523,0.9661268591880798,8.150516510009766,17179869184,2147483648,8910401536,432537600
104,1697704835338,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,36,24.71844482421875,0.9790952205657959,4.666642665863037,0.9617221355438232,19.47744369506836,0.9783743023872375,14.925590515136719,0.9754191040992737,10.482221603393555,0.9712377786636353,8.41806697845459,0.9661198854446411,8.150516510009766,17179869184,2147483648,8910401536,432537600
101,1697704835443,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,36,24.718338012695313,0.9790881276130676,4.666608810424805,0.961714506149292,19.47730255126953,0.978366494178772,14.925471305847168,0.975412130355835,10.482138633728027,0.9712300300598145,8.417999267578125,0.9661121964454651,8.150516510009766,17179869184,2147483648,8910401536,432537600
104,1697704835546,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,36,24.718286514282227,0.979080319404602,4.6665754318237305,0.9617076516151428,19.477293014526367,0.9783594608306885,14.925363540649414,0.9754043817520142,10.482063293457031,0.9712230563163757,8.417939186096191,0.9661052227020264,8.150516510009766,17179869184,2147483648,8910401536,432537600
100,1697704835651,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,36,24.71817970275879,0.9790733456611633,4.666538238525391,0.9617006182670593,19.47715187072754,0.978352427482605,14.925317764282227,0.9753973484039307,10.481986999511719,0.971216082572937,8.417878150939941,0.9660982489585876,8.469523429870605,17179869184,2147483648,8910401536,432537600
99,1697704835752,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,36,24.718074798583984,0.9790662527084351,4.666504859924316,0.9616937637329102,19.47701072692871,0.9783453345298767,14.925209999084473,0.9753903150558472,10.481911659240723,0.9712090492248535,8.417818069458008,0.9660912752151489,8.469523429870605,17179869184,2147483648,8910401536,432537600
