Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697705095807,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.507164001464844,0.9761227369308472,4.629245758056641,0.9595645666122437,19.24201774597168,0.9756273627281189,14.733144760131836,0.9726559519767761,10.35505199432373,0.9689054489135742,8.319740295410156,0.963740348815918,10.090210914611816,17179869184,2147483648,8342958080,432537600
104,1697705095807,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.507144927978516,0.9761213064193726,4.629242420196533,0.9595639109611511,19.24200439453125,0.9756259918212891,14.733134269714355,0.9726545810699463,10.355037689208984,0.9689040184020996,8.31972885131836,0.9637396931648254,10.090210914611816,17179869184,2147483648,8343240704,432537600
103,1697705095912,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.50716781616211,0.9761144518852234,4.62920618057251,0.9595563411712646,19.241926193237305,0.9756190776824951,14.733019828796387,0.9726476669311523,10.354963302612305,0.9688972234725952,8.319669723510742,0.963732123374939,10.090210914611816,17179869184,2147483648,8343371776,432537600
104,1697705096016,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.507064819335938,0.9761068224906921,4.629173278808594,0.9595495462417603,19.241788864135742,0.9756115078926086,14.732914924621582,0.9726401567459106,10.354883193969727,0.9688897132873535,8.319604873657227,0.9637253284454346,10.090210914611816,17179869184,2147483648,8343371776,432537600
104,1697705096121,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.5070858001709,0.9760999083518982,4.6291375160217285,0.9595420956611633,19.241710662841797,0.9756045341491699,14.732872009277344,0.9726332426071167,10.354809761047363,0.9688827991485596,8.319546699523926,0.9637178182601929,10.090210914611816,17179869184,2147483648,8343371776,432537600
102,1697705096226,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.50698471069336,0.9760922789573669,4.629105091094971,0.9595353007316589,19.241575241088867,0.9755970239639282,14.732768058776855,0.972625732421875,10.354729652404785,0.9688752889633179,8.31948184967041,0.9637110233306885,10.090210914611816,17179869184,2147483648,8343371776,432537600
103,1697705096329,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.507076263427734,0.976085364818573,4.629072189331055,0.9595285058021545,19.24149513244629,0.9755901098251343,14.73266315460205,0.972618818283081,10.354656219482422,0.9688683748245239,8.319552421569824,0.9637035131454468,10.090210914611816,17179869184,2147483648,8343371776,432537600
99,1697705096433,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.506973266601563,0.9760785102844238,4.629035949707031,0.9595210552215576,19.241357803344727,0.9755831956863403,14.732548713684082,0.9726119041442871,10.354582786560059,0.9688608646392822,8.319493293762207,0.9636966586112976,10.090210914611816,17179869184,2147483648,8343371776,432537600
104,1697705096533,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.506872177124023,0.9760715961456299,4.629003047943115,0.9595142602920532,19.241222381591797,0.9755762219429016,14.732444763183594,0.9726050496101379,10.354509353637695,0.9688540101051331,8.31943416595459,0.9636898636817932,10.090210914611816,17179869184,2147483648,8343371776,432537600
104,1697705096638,0,0,0,0,0,0,0,0,0,0,0,0,39,38,36,38,37,36,24.506750106811523,0.9760639667510986,4.628970623016357,0.9595074653625488,19.241086959838867,0.9755687117576599,14.732400894165039,0.9725974798202515,10.354499816894531,0.9688471555709839,8.319369316101074,0.9636824131011963,10.940544128417969,17179869184,2147483648,8343371776,432537600
