Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697705276477,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,39,38,38,24.353059768676758,0.9754690527915955,4.6079792976379395,0.9598891139030457,19.081144332885742,0.9749100804328918,14.60319709777832,0.9724652171134949,10.272538185119629,0.9691107273101807,8.256912231445313,0.9641505479812622,10.2227201461792,17179869184,2147483648,8469577728,432537600
104,1697705276478,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,39,38,38,24.353113174438477,0.9754682779312134,4.607973098754883,0.9598877429962158,19.081117630004883,0.9749093055725098,14.603187561035156,0.972463846206665,10.272530555725098,0.9691100716590881,8.256906509399414,0.9641499519348145,10.2227201461792,17179869184,2147483648,8469889024,432537600
107,1697705276583,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,39,38,38,24.353134155273438,0.9754608273506165,4.607940673828125,0.9598810076713562,19.08111000061035,0.9749018549919128,14.603084564208984,0.9724570512771606,10.272451400756836,0.9691026210784912,8.25684928894043,0.9641425013542175,10.2227201461792,17179869184,2147483648,8464932864,432537600
104,1697705276691,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,39,38,38,24.35303497314453,0.9754533171653748,4.607905387878418,0.9598736763000488,19.080976486206055,0.9748942852020264,14.602972984313965,0.9724496006965637,10.272379875183105,0.9690951704978943,8.25678539276123,0.9641350507736206,10.793914794921875,17179869184,2147483648,8464945152,432537600
108,1697705276796,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,39,38,38,24.352970123291016,0.9754465222358704,4.607870101928711,0.9598669409751892,19.080842971801758,0.974887490272522,14.60299015045166,0.9724421501159668,10.272300720214844,0.9690883755683899,8.256721496582031,0.964128315448761,10.793914794921875,17179869184,2147483648,8464969728,432537600
106,1697705276905,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,39,38,38,24.352922439575195,0.9754390716552734,4.607834815979004,0.9598596096038818,19.080753326416016,0.974880039691925,14.602888107299805,0.9724345803260803,10.272221565246582,0.969080924987793,8.256658554077148,0.9641209840774536,10.793914794921875,17179869184,2147483648,8464982016,432537600
109,1697705277012,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,39,38,38,24.35282325744629,0.975431501865387,4.607802391052246,0.9598522186279297,19.080759048461914,0.9748725295066833,14.602775573730469,0.9724279046058655,10.272150039672852,0.969073474407196,8.256600379943848,0.9641135334968567,10.793914794921875,17179869184,2147483648,8492593152,432537600
106,1697705277122,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,39,38,38,24.352705001831055,0.97542405128479,4.607767105102539,0.9598447680473328,19.080669403076172,0.9748650789260864,14.602663040161133,0.972420334815979,10.272071838378906,0.9690660238265991,8.256537437438965,0.9641060829162598,10.793914794921875,17179869184,2147483648,8492593152,432537600
107,1697705277229,0,0,0,0,0,0,0,0,0,0,0,0,40,39,38,39,39,38,24.352588653564453,0.9754164814949036,4.607731342315674,0.9598374366760254,19.080535888671875,0.974858283996582,14.602550506591797,0.9724128842353821,10.271992683410645,0.9690592885017395,8.256473541259766,0.9640993475914001,10.793914794921875,17179869184,2147483648,8492593152,432537600
107,1697705277338,0,0,0,0,0,0,0,0,0,0,0,0,40,39,38,39,39,38,24.35247230529785,0.9754096865653992,4.607696056365967,0.959830105304718,19.08039093017578,0.9748507142066956,14.602449417114258,0.9724054336547852,10.271913528442383,0.9690518379211426,8.256409645080566,0.9640920162200928,10.793914794921875,17179869184,2147483648,8492593152,432537600
