Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697708201452,1457.8685760498047,4700,1,0.30000000000000004,1139.662612915039,4700,1,0.30000000000000004,2330.477096557617,4700,1,0.30000000000000004,1557.5780792236328,4700,1,0.30000000000000004,2136.8924407958984,4700,1,0.30000000000000004,1500.1664428710938,4700,1,0.30000000000000004,1414.7318420410156,4700,1,0.30000000000000004,1892.176284790039,4700,1,0.30000000000000004,1655.1803131103516,4700,1,0.30000000000000004,1694.157699584961,4700,1,0.30000000000000004,1701.5596923828125,4700,1,0.30000000000000004,1393.9485168457031,4700,1,0.30000000000000004,2933919.860183716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6311157760,0
99,1697708201453,1457.8774871826172,4700,1,0.30000000000000004,1139.6772155761719,4700,1,0.30000000000000004,2330.4771881103516,4700,1,0.30000000000000004,1557.579116821289,4700,1,0.30000000000000004,2136.8929748535156,4700,1,0.30000000000000004,1500.1676940917969,4700,1,0.30000000000000004,1414.7320404052734,4700,1,0.30000000000000004,1892.1764526367188,4700,1,0.30000000000000004,1655.1803894042969,4700,1,0.30000000000000004,1694.1577911376953,4700,1,0.30000000000000004,1701.5602569580078,4700,1,0.30000000000000004,1393.9485931396484,4700,1,0.30000000000000004,2933919.9952087402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6312701952,0
99,1697708201553,1458.0873565673828,4700,1,0.3062499999999999,1139.8675231933594,4700,1,0.30000000000000004,2330.499740600586,4700,1,0.30000000000000004,1557.601806640625,4700,1,0.3062499999999999,2136.9586334228516,4700,1,0.3062499999999999,1500.1813049316406,4700,1,0.3062499999999999,1414.7355499267578,4700,1,0.3062499999999999,1892.1812744140625,4700,1,0.3062499999999999,1655.192642211914,4700,1,0.3062499999999999,1694.17724609375,4700,1,0.3062499999999999,1701.5855560302734,4700,1,0.3062499999999999,1394.2657470703125,4700,1,0.30000000000000004,2933924.111923218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6355582976,0
99,1697708201653,1458.1896514892578,4700,1,0.3062499999999999,1140.1537017822266,4700,1,0.3062499999999999,2331.0885467529297,4700,1,0.3062499999999999,1557.7243347167969,4700,1,0.3062499999999999,2137.087875366211,4700,1,0.3062499999999999,1500.2736358642578,4700,1,0.3062499999999999,1414.8783874511719,4700,1,0.3062499999999999,1892.3153381347656,4700,1,0.3062499999999999,1655.3821411132813,4700,1,0.3062499999999999,1694.4202423095703,4700,1,0.3062499999999999,1701.8254699707031,4700,1,0.3062499999999999,1394.8138580322266,4700,1,0.3062499999999999,2933929.946411133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6436220928,0
99,1697708201753,1458.2787170410156,4700,1,0.30000000000000004,1140.502685546875,4700,1,0.30000000000000004,2331.390884399414,4700,1,0.30000000000000004,1557.7589721679688,4700,1,0.30000000000000004,2137.2022094726563,4700,1,0.30000000000000004,1500.3726501464844,4700,1,0.30000000000000004,1414.9359130859375,4700,1,0.30000000000000004,1892.4452514648438,4700,1,0.30000000000000004,1655.6114501953125,4700,1,0.30000000000000004,1694.8547668457031,4700,1,0.30000000000000004,1702.345443725586,4700,1,0.30000000000000004,1395.0367584228516,4700,1,0.30000000000000004,2933935.695007324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6468079616,0
99,1697708201853,1458.3384094238281,4700,1,0.30000000000000004,1140.684814453125,4700,1,0.30000000000000004,2331.572952270508,4700,1,0.30000000000000004,1557.7958526611328,4700,1,0.30000000000000004,2137.2904205322266,4700,1,0.30000000000000004,1500.4437103271484,4700,1,0.30000000000000004,1414.947280883789,4700,1,0.30000000000000004,1892.4700469970703,4700,1,0.30000000000000004,1655.706283569336,4700,1,0.30000000000000004,1695.5083312988281,4700,1,0.30000000000000004,1702.4917755126953,4700,1,0.30000000000000004,1395.1481018066406,4700,1,0.30000000000000004,2933940.6253967285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6479622144,0
99,1697708201953,1458.4312591552734,4700,1,0.30000000000000004,1140.8311309814453,4700,1,0.30000000000000004,2331.7044372558594,4700,1,0.30000000000000004,1557.9153594970703,4700,1,0.30000000000000004,2137.3951263427734,4700,1,0.30000000000000004,1500.5811157226563,4700,1,0.30000000000000004,1415.093765258789,4700,1,0.30000000000000004,1892.5403747558594,4700,1,0.30000000000000004,1655.853256225586,4700,1,0.30000000000000004,1695.603775024414,4700,1,0.30000000000000004,1702.6828918457031,4700,1,0.30000000000000004,1395.4249725341797,4700,1,0.30000000000000004,2933945.24407959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6517776384,0
99,1697708202053,1458.4361267089844,4700,1,0.30000000000000004,1140.8992156982422,4700,1,0.30000000000000004,2331.795684814453,4700,1,0.30000000000000004,1557.9229278564453,4700,1,0.30000000000000004,2137.400360107422,4700,1,0.30000000000000004,1500.5894927978516,4700,1,0.30000000000000004,1415.10009765625,4700,1,0.30000000000000004,1892.543716430664,4700,1,0.30000000000000004,1655.8564910888672,4700,1,0.30000000000000004,1695.6848602294922,4700,1,0.30000000000000004,1702.690185546875,4700,1,0.30000000000000004,1395.4810485839844,4700,1,0.30000000000000004,2933948.7597198486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6518181888,0
99,1697708202153,1458.4393768310547,4700,1,0.30000000000000004,1140.9476470947266,4700,1,0.30000000000000004,2331.876739501953,4700,1,0.30000000000000004,1557.9266052246094,4700,1,0.30000000000000004,2137.412139892578,4700,1,0.30000000000000004,1500.598861694336,4700,1,0.30000000000000004,1415.1058502197266,4700,1,0.30000000000000004,1892.5471954345703,4700,1,0.30000000000000004,1655.8596496582031,4700,1,0.30000000000000004,1695.7174835205078,4700,1,0.30000000000000004,1702.6967315673828,4700,1,0.30000000000000004,1395.520492553711,4700,1,0.30000000000000004,2933952.120300293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6518181888,0
99,1697708202254,1458.4411010742188,4700,1,0.29374999999999996,1140.9727325439453,4700,1,0.29374999999999996,2331.8998413085938,4700,1,0.29374999999999996,1557.9282836914063,4700,1,0.29374999999999996,2137.4149017333984,4700,1,0.29374999999999996,1500.600814819336,4700,1,0.29374999999999996,1415.1086730957031,4700,1,0.29374999999999996,1892.5495300292969,4700,1,0.29374999999999996,1655.8611907958984,4700,1,0.29374999999999996,1695.7196960449219,4700,1,0.29374999999999996,1702.6992645263672,4700,1,0.29374999999999996,1395.524154663086,4700,1,0.29374999999999996,2933954.5241851807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6517911552,0
