Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697708401840,1468.8324127197266,4700,1,0.30000000000000004,1159.5477752685547,4700,1,0.30000000000000004,2351.9974670410156,4700,1,0.30000000000000004,1565.0906372070313,4700,1,0.30000000000000004,2144.411148071289,4700,1,0.30000000000000004,1507.5683288574219,4700,1,0.30000000000000004,1421.7198028564453,4700,1,0.30000000000000004,1901.1758728027344,4700,1,0.30000000000000004,1670.3417663574219,4700,1,0.30000000000000004,1707.195785522461,4700,1,0.30000000000000004,1712.1914978027344,4700,1,0.30000000000000004,1405.7964172363281,4700,1,0.30000000000000004,2938315.1496124268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6312292352,0
99,1697708401840,1468.8325958251953,4700,1,0.30000000000000004,1159.5567779541016,4700,1,0.30000000000000004,2352.0122833251953,4700,1,0.30000000000000004,1565.1008605957031,4700,1,0.30000000000000004,2144.4180755615234,4700,1,0.30000000000000004,1507.5689697265625,4700,1,0.30000000000000004,1421.7199401855469,4700,1,0.30000000000000004,1901.176010131836,4700,1,0.30000000000000004,1670.3418579101563,4700,1,0.30000000000000004,1707.1958770751953,4700,1,0.30000000000000004,1712.1916198730469,4700,1,0.30000000000000004,1405.7965698242188,4700,1,0.30000000000000004,2938315.3372039795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6312292352,0
99,1697708401941,1468.8623352050781,4700,1,0.30000000000000004,1159.6478424072266,4700,1,0.30000000000000004,2352.0482330322266,4700,1,0.30000000000000004,1565.350845336914,4700,1,0.30000000000000004,2144.5320892333984,4700,1,0.30000000000000004,1507.5806427001953,4700,1,0.30000000000000004,1421.7353515625,4700,1,0.30000000000000004,1901.192123413086,4700,1,0.30000000000000004,1670.3549041748047,4700,1,0.30000000000000004,1707.2146759033203,4700,1,0.30000000000000004,1712.2940368652344,4700,1,0.30000000000000004,1406.0094757080078,4700,1,0.30000000000000004,2938319.3742370605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6353625088,0
99,1697708402041,1468.9561614990234,4700,1,0.3062499999999999,1159.7440338134766,4700,1,0.3062499999999999,2352.1805267333984,4700,1,0.3062499999999999,1565.544418334961,4700,1,0.3062499999999999,2145.2975006103516,4700,1,0.3062499999999999,1507.6528930664063,4700,1,0.3062499999999999,1421.8027038574219,4700,1,0.3062499999999999,1901.2721557617188,4700,1,0.3062499999999999,1670.4338836669922,4700,1,0.3062499999999999,1707.3477630615234,4700,1,0.3062499999999999,1712.3881530761719,4700,1,0.3062499999999999,1406.2698364257813,4700,1,0.3062499999999999,2938324.489501953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6482264064,0
99,1697708402141,1469.1677551269531,4700,1,0.3062499999999999,1159.8476257324219,4700,1,0.3062499999999999,2352.4112396240234,4700,1,0.3062499999999999,1566.0106353759766,4700,1,0.3062499999999999,2145.722946166992,4700,1,0.3062499999999999,1508.482437133789,4700,1,0.3062499999999999,1421.9476776123047,4700,1,0.3062499999999999,1901.5013122558594,4700,1,0.3062499999999999,1670.5334167480469,4700,1,0.3062499999999999,1707.5128021240234,4700,1,0.3062499999999999,1712.5203704833984,4700,1,0.3062499999999999,1406.3811798095703,4700,1,0.3062499999999999,2938330.591583252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6463332352,0
99,1697708402241,1469.3077697753906,4700,1,0.30000000000000004,1159.87841796875,4700,1,0.30000000000000004,2352.534378051758,4700,1,0.30000000000000004,1566.1624908447266,4700,1,0.30000000000000004,2145.9340209960938,4700,1,0.30000000000000004,1509.1968688964844,4700,1,0.30000000000000004,1422.0150146484375,4700,1,0.30000000000000004,1901.5613098144531,4700,1,0.30000000000000004,1670.578125,4700,1,0.30000000000000004,1707.539306640625,4700,1,0.30000000000000004,1712.6150512695313,4700,1,0.30000000000000004,1406.4405364990234,4700,1,0.30000000000000004,2938335.3542938232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6480838656,0
99,1697708402341,1469.463119506836,4700,1,0.30000000000000004,1159.951919555664,4700,1,0.30000000000000004,2352.647445678711,4700,1,0.30000000000000004,1566.300308227539,4700,1,0.30000000000000004,2146.2546997070313,4700,1,0.30000000000000004,1509.4188690185547,4700,1,0.30000000000000004,1422.2444152832031,4700,1,0.30000000000000004,1901.7095489501953,4700,1,0.30000000000000004,1670.6521759033203,4700,1,0.30000000000000004,1707.6097717285156,4700,1,0.30000000000000004,1712.7011260986328,4700,1,0.30000000000000004,1406.5043640136719,4700,1,0.30000000000000004,2938340.136779785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6509084672,0
99,1697708402441,1469.5637512207031,4700,1,0.30000000000000004,1159.9590301513672,4700,1,0.30000000000000004,2352.6776428222656,4700,1,0.30000000000000004,1566.3199615478516,4700,1,0.30000000000000004,2146.29345703125,4700,1,0.30000000000000004,1509.5177307128906,4700,1,0.30000000000000004,1422.2717742919922,4700,1,0.30000000000000004,1901.7693176269531,4700,1,0.30000000000000004,1670.6580200195313,4700,1,0.30000000000000004,1707.6129455566406,4700,1,0.30000000000000004,1712.722915649414,4700,1,0.30000000000000004,1406.5243377685547,4700,1,0.30000000000000004,2938343.540588379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6507675648,0
99,1697708402541,1469.6422424316406,4700,1,0.30000000000000004,1159.9613647460938,4700,1,0.30000000000000004,2352.6986083984375,4700,1,0.30000000000000004,1566.3247680664063,4700,1,0.30000000000000004,2146.3304901123047,4700,1,0.30000000000000004,1509.5696868896484,4700,1,0.30000000000000004,1422.2874755859375,4700,1,0.30000000000000004,1901.798080444336,4700,1,0.30000000000000004,1670.6606903076172,4700,1,0.30000000000000004,1707.614517211914,4700,1,0.30000000000000004,1712.7274780273438,4700,1,0.30000000000000004,1406.5267333984375,4700,1,0.30000000000000004,2938346.814666748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6509322240,0
99,1697708402641,1469.6943664550781,4700,1,0.30000000000000004,1159.9628601074219,4700,1,0.30000000000000004,2352.7181243896484,4700,1,0.30000000000000004,1566.349609375,4700,1,0.30000000000000004,2146.375930786133,4700,1,0.30000000000000004,1509.5745086669922,4700,1,0.30000000000000004,1422.2991790771484,4700,1,0.30000000000000004,1901.807861328125,4700,1,0.30000000000000004,1670.6631927490234,4700,1,0.30000000000000004,1707.6160125732422,4700,1,0.30000000000000004,1712.7311096191406,4700,1,0.30000000000000004,1406.5288391113281,4700,1,0.30000000000000004,2938349.8977661133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6509060096,0
