Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704797704,1957.600112915039,4125,0,1.3,29319.808074951172,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4333662208,0
109,1697704797704,2040.3809509277344,4125,0,1.29375,29320.042190551758,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4410388480,0
106,1697704797814,2416.7415618896484,3525,0,1.0375,29323.984375,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4461473792,0
109,1697704797921,2347.4432373046875,4250,0,1.35625,29325.860549926758,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4473126912,0
108,1697704798030,2417.077178955078,3525,0,1.0375,29326.769821166992,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4473253888,0
109,1697704798138,2040.9537658691406,3525,0,1.0375,29327.61016845703,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4489289728,0
107,1697704798248,2347.501998901367,3525,0,1.05625,29328.43228149414,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4489175040,0
110,1697704798356,2417.1490631103516,3525,0,1.0375,29329.170928955078,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4489007104,0
109,1697704798466,2417.1731872558594,3525,0,1.0375,29329.92869567871,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4488908800,0
108,1697704798576,2417.1874237060547,3525,0,1.0375,29330.6700592041,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4488732672,0
109,1697704798685,2417.2140350341797,3525,0,1.0375,29331.438018798828,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4488290304,0
109,1697704798795,2014.4898529052734,3525,0,1.00625,29332.178649902344,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4487897088,0
107,1697704798904,2417.2568969726563,3525,0,1.0375,29332.945266723633,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4487581696,0
109,1697704799012,2417.2796630859375,3525,0,1.0375,29333.711853027344,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4484886528,0
