Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704477506,1921.659652709961,4125,0,1.275,27643.216751098633,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4313174016,0
107,1697704477506,1921.8807525634766,4150,0,1.3,27644.975006103516,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4388274176,0
109,1697704477615,1922.0797271728516,4250,0,1.3125,27646.840896606445,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4447158272,0
109,1697704477724,2320.2396240234375,3525,0,1.0375,27648.193588256836,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4451938304,0
108,1697704477833,1922.1869659423828,3525,0,1.03125,27649.06559753418,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4452790272,0
109,1697704477942,2320.3199005126953,3525,0,1.0375,27649.840362548828,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4452888576,0
108,1697704478052,1904.1322174072266,3525,0,1.0375,27650.64778137207,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4465983488,0
108,1697704478161,2320.365005493164,3525,0,1.0375,27651.371307373047,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4465889280,0
110,1697704478270,2320.3941040039063,4025,0,1.21875,27652.309295654297,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4464984064,0
108,1697704478380,2320.426071166992,3525,0,1.0375,27653.06364440918,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4465025024,0
109,1697704478489,2320.450927734375,3525,0,1.0375,27653.789749145508,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4464713728,0
108,1697704478598,2320.4842224121094,3525,0,1.0375,27654.547592163086,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4464467968,0
109,1697704478707,2301.5176696777344,3525,0,1.05625,27655.345092773438,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4461957120,0
110,1697704478816,2320.540252685547,3525,0,1.0375,27656.105682373047,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4459880448,0
110,1697704478927,1922.461669921875,3525,0,1.03125,27656.89828491211,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4459048960,0
109,1697704479037,2097.0896606445313,3525,0,1.05625,27657.671112060547,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4463112192,0
109,1697704479147,1904.3328552246094,2820,1,0.875,27658.413192749023,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4462866432,0
108,1697704479257,1922.5419921875,3525,0,1.03125,27659.172286987305,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4462567424,0
109,1697704479366,2320.6673278808594,3525,0,1.0375,27659.891525268555,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4462243840,0
110,1697704479476,1992.059310913086,3525,0,1.0375,27660.60841369629,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4461875200,0
108,1697704479587,2320.710647583008,3525,0,1.0375,27661.408325195313,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4462952448,0
110,1697704479696,1922.6805725097656,3525,0,1.03125,27662.255279541016,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4463648768,0
109,1697704479806,1923.051513671875,3340,0,0.9812500000000001,27666.01107788086,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4496568320,0
108,1697704479916,2321.3567504882813,3525,0,1.0375,27667.15687561035,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4496949248,0
109,1697704480024,1904.88525390625,3525,0,1.0375,27668.100814819336,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4506976256,0
108,1697704480133,1992.5255279541016,3525,0,1.0375,27668.91717529297,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4506800128,0
110,1697704480243,2321.449996948242,3525,0,1.0375,27669.4920501709,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4506128384,0
110,1697704480354,2321.473403930664,3525,0,1.0125000000000002,27670.083755493164,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4506451968,0
108,1697704480464,2321.49365234375,3525,0,1.0125000000000002,27670.686096191406,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4506288128,0
110,1697704480574,2097.810791015625,3525,0,1.05625,27671.347900390625,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4505874432,0
109,1697704480685,1992.5855407714844,3525,0,1.0125000000000002,27671.787368774414,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4505706496,0
110,1697704480795,1923.3070220947266,3525,0,1.03125,27672.312408447266,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4504424448,0
109,1697704480905,2321.570526123047,3525,0,1.0375,27672.809539794922,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4504043520,0
110,1697704481015,2321.594512939453,3525,0,1.0375,27673.348678588867,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4503363584,0
110,1697704481126,2321.6157989501953,3525,0,1.0125000000000002,27673.910705566406,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4505468928,0
109,1697704481237,2321.644821166992,3525,0,1.0125000000000002,27674.462997436523,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4505030656,0
109,1697704481346,2321.672103881836,3525,0,1.0125000000000002,27675.033004760742,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4504780800,0
110,1697704481456,1923.4954223632813,3400,0,0.99375,27675.78758239746,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4506083328,0
111,1697704481566,1923.7298736572266,3525,0,1.03125,27678.258560180664,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4507398144,0
107,1697704481678,1905.3446960449219,3525,0,1.0375,27678.86329650879,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4507242496,0
