Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704864022,0,0,0,0,0,0,0,0,0,0,45.875877380371094,43.76218032836914,43.189361572265625,45.902835845947266,44.39805603027344,42.81533432006836,40.70265197753906,40.50763702392578,43.3917350769043,42.195335388183594,46.2413444519043,45.295467376708984,14.983759880065918,8.789624214172363,5.077592849731445,3.5026843547821045,2.9617838859558105,1.5773580074310303,1.1041675806045532,0.9451043605804443,11.157184600830078,34359738368,0,9979199488,0
109,1697704864022,0,0,0,0,0,0,0,0,0,0,45.875877380371094,43.76218032836914,43.189361572265625,45.902835845947266,44.39805603027344,42.81533432006836,40.70265197753906,40.50763702392578,43.3917350769043,42.195335388183594,46.24134063720703,45.29547882080078,14.983757972717285,8.78962230682373,5.077592372894287,3.502683639526367,2.9617831707000732,1.5773577690124512,1.1041673421859741,0.9451043009757996,11.157184600830078,34359738368,0,9980182528,0
109,1697704864132,0,0,0,0,0,0,0,0,0,0,45.875877380371094,43.76218032836914,43.189361572265625,45.902835845947266,44.39805603027344,42.81533432006836,40.70265197753906,40.50763702392578,43.3917350769043,42.195335388183594,46.2413330078125,45.29545593261719,14.983776092529297,8.7896089553833,5.077585220336914,3.502678871154785,2.9617788791656494,1.5773555040359497,1.1041656732559204,0.9451029896736145,11.157184600830078,34359738368,0,9974628352,0
109,1697704864243,0,0,0,0,0,0,0,0,0,0,45.875877380371094,43.76218032836914,43.189361572265625,45.902835845947266,44.39805603027344,42.81533432006836,40.70265197753906,40.50763702392578,43.3917350769043,42.195335388183594,46.241275787353516,45.29541015625,14.98375415802002,8.789596557617188,5.077577590942383,3.502673625946045,2.9617745876312256,1.5773532390594482,1.1041640043258667,0.9451015591621399,11.157184600830078,34359738368,0,9974824960,0
109,1697704864353,0,0,0,0,0,0,0,0,0,0,46.03275680541992,43.7434196472168,42.827491760253906,45.85041809082031,44.15599822998047,42.78504180908203,40.583412170410156,40.222625732421875,43.3606071472168,41.92967224121094,46.24122619628906,45.295345306396484,14.983733177185059,8.789584159851074,5.07757043838501,3.502668857574463,2.961770534515381,1.5773508548736572,1.1041624546051025,0.9451001882553101,11.157184600830078,34359738368,0,9974579200,0
107,1697704864463,0,0,0,0,0,0,0,0,0,0,46.03275680541992,43.7434196472168,42.827491760253906,45.85041809082031,44.15599822998047,42.78504180908203,40.583412170410156,40.222625732421875,43.3606071472168,41.92967224121094,46.24116897583008,45.2952880859375,14.983710289001465,8.789571762084961,5.077563285827637,3.5026636123657227,2.961766242980957,1.5773485898971558,1.1041609048843384,0.945098876953125,11.157184600830078,34359738368,0,9974579200,0
103,1697704864571,0,0,0,0,0,0,0,0,0,0,46.03275680541992,43.7434196472168,42.827491760253906,45.85041809082031,44.15599822998047,42.78504180908203,40.583412170410156,40.222625732421875,43.3606071472168,41.92967224121094,46.24110412597656,45.29521942138672,14.98369026184082,8.789558410644531,5.0775556564331055,3.5026588439941406,2.961761951446533,1.5773464441299438,1.1041592359542847,0.9450975060462952,11.157184600830078,34359738368,0,9974579200,0
104,1697704864675,0,0,0,0,0,0,0,0,0,0,46.03275680541992,43.7434196472168,42.827491760253906,45.85041809082031,44.15599822998047,42.78504180908203,40.583412170410156,40.222625732421875,43.3606071472168,41.92967224121094,46.241065979003906,45.29518127441406,14.983670234680176,8.78954792022705,5.077548980712891,3.5026535987854004,2.9617578983306885,1.577344298362732,1.1041579246520996,0.9450961947441101,11.157184600830078,34359738368,0,9974579200,0
109,1697704864780,0,0,0,0,0,0,0,0,0,0,46.03275680541992,43.7434196472168,42.827491760253906,45.85041809082031,44.15599822998047,42.78504180908203,40.583412170410156,40.222625732421875,43.3606071472168,41.92967224121094,46.24101638793945,45.295135498046875,14.983648300170898,8.789534568786621,5.077541828155518,3.5026490688323975,2.9617536067962646,1.57734215259552,1.104156255722046,0.945094883441925,11.921257019042969,34359738368,0,9974579200,0
107,1697704864891,0,0,0,0,0,0,0,0,0,0,46.03275680541992,43.7434196472168,42.827491760253906,45.85041809082031,44.15599822998047,42.78504180908203,40.583412170410156,40.222625732421875,43.3606071472168,41.92967224121094,46.24095916748047,45.295074462890625,14.983628273010254,8.789522171020508,5.0775346755981445,3.5026438236236572,2.961749315261841,1.5773396492004395,1.1041547060012817,0.94509357213974,11.921257019042969,34359738368,0,9974579200,0
