Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704486571,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.362274169921875,45.419673919677734,15.018107414245605,8.816873550415039,5.093955993652344,3.5136711597442627,2.9707272052764893,1.5813602209091187,1.1066360473632813,0.947256863117218,11.43958854675293,34359738368,0,10184736768,0
104,1697704486571,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.36226272583008,45.41965866088867,15.01810359954834,8.816872596740723,5.093954563140869,3.5136706829071045,2.970726728439331,1.58135986328125,1.1066358089447021,0.9472566843032837,11.43958854675293,34359738368,0,10185588736,0
104,1697704486676,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.362220764160156,45.419620513916016,15.018086433410645,8.81686019897461,5.093947887420654,3.5136654376983643,2.9707224369049072,1.5813575983047485,1.106634259223938,0.9472553730010986,11.43958854675293,34359738368,0,10176233472,0
104,1697704486782,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.36216735839844,45.41956329345703,15.01806354522705,8.816847801208496,5.093940734863281,3.5136609077453613,2.9707186222076416,1.581355333328247,1.1066328287124634,0.9472540616989136,11.441726684570313,34359738368,0,10176462848,0
104,1697704486887,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.36212158203125,45.41951370239258,15.018044471740723,8.8168363571167,5.09393310546875,3.5136559009552,2.9707143306732178,1.5813533067703247,1.1066311597824097,0.9472527503967285,11.441726684570313,34359738368,0,10176462848,0
101,1697704486992,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.3620719909668,45.419456481933594,15.018022537231445,8.81682300567627,5.093926429748535,3.513650894165039,2.970710277557373,1.5813510417938232,1.1066298484802246,0.9472514390945435,11.441726684570313,34359738368,0,10176462848,0
102,1697704487094,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.362030029296875,45.41941452026367,15.0180025100708,8.816811561584473,5.09391975402832,3.513646125793457,2.9707064628601074,1.5813490152359009,1.106628179550171,0.9472501277923584,11.441726684570313,34359738368,0,10176462848,0
103,1697704487197,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.36199951171875,45.419376373291016,15.018007278442383,8.81679916381836,5.093912601470947,3.513641357421875,2.9707021713256836,1.5813467502593994,1.1066267490386963,0.9472487568855286,11.441726684570313,34359738368,0,10176462848,0
104,1697704487302,0,0,0,0,0,0,0,0,0,0,45.531158447265625,44.04302215576172,43.238243103027344,45.84574508666992,44.323516845703125,43.178077697753906,40.44230651855469,40.279930114746094,43.294158935546875,42.39665985107422,46.361934661865234,45.419315338134766,15.017988204956055,8.816787719726563,5.093905925750732,3.513636827468872,2.970698356628418,1.5813446044921875,1.1066251993179321,0.9472475647926331,11.441726684570313,34359738368,0,10176462848,0
100,1697704487406,0,0,0,0,0,0,0,0,0,0,45.496315002441406,43.82158660888672,43.11578369140625,45.929439544677734,44.123252868652344,43.29296112060547,40.499855041503906,40.40080261230469,43.32840347290039,42.219398498535156,46.36187744140625,45.419254302978516,15.017967224121094,8.81677532196045,5.093898773193359,3.513631582260132,2.970694065093994,1.5813424587249756,1.106623649597168,0.9472463130950928,11.441726684570313,34359738368,0,10176462848,0
104,1697704487507,0,0,0,0,0,0,0,0,0,0,45.496315002441406,43.82158660888672,43.11578369140625,45.929439544677734,44.123252868652344,43.29296112060547,40.499855041503906,40.40080261230469,43.32840347290039,42.219398498535156,46.36182403564453,45.41920852661133,15.01794719696045,8.816764831542969,5.093891620635986,3.513627052307129,2.9706900119781494,1.5813404321670532,1.1066222190856934,0.9472450017929077,11.441726684570313,34359738368,0,10176462848,0
100,1697704487612,0,0,0,0,0,0,0,0,0,0,45.496315002441406,43.82158660888672,43.11578369140625,45.929439544677734,44.123252868652344,43.29296112060547,40.499855041503906,40.40080261230469,43.32840347290039,42.219398498535156,46.36177062988281,45.41915512084961,15.017927169799805,8.816751480102539,5.0938849449157715,3.5136218070983887,2.970686197280884,1.5813382863998413,1.1066207885742188,0.9472436904907227,11.441726684570313,34359738368,0,10176331776,0
103,1697704487713,0,0,0,0,0,0,0,0,0,0,45.496315002441406,43.82158660888672,43.11578369140625,45.929439544677734,44.123252868652344,43.29296112060547,40.499855041503906,40.40080261230469,43.32840347290039,42.219398498535156,46.361724853515625,45.41910171508789,15.017906188964844,8.816740036010742,5.093878269195557,3.513617515563965,2.970682382583618,1.5813360214233398,1.1066192388534546,0.9472424387931824,11.441726684570313,34359738368,0,10175873024,0
102,1697704487817,0,0,0,0,0,0,0,0,0,0,45.496315002441406,43.82158660888672,43.11578369140625,45.929439544677734,44.123252868652344,43.29296112060547,40.499855041503906,40.40080261230469,43.32840347290039,42.219398498535156,46.361663818359375,45.41904830932617,15.0178861618042,8.816727638244629,5.093870639801025,3.5136125087738037,2.9706780910491943,1.5813339948654175,1.1066176891326904,0.9472411870956421,11.327072143554688,34359738368,0,10175889408,0
104,1697704487920,0,0,0,0,0,0,0,0,0,0,45.496315002441406,43.82158660888672,43.11578369140625,45.929439544677734,44.123252868652344,43.29296112060547,40.499855041503906,40.40080261230469,43.32840347290039,42.219398498535156,46.36162185668945,45.41899108886719,15.017864227294922,8.816715240478516,5.0938639640808105,3.51360821723938,2.9706740379333496,1.581331729888916,1.1066162586212158,0.9472398161888123,11.327072143554688,34359738368,0,10175938560,0
