Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704642053,0,0,0,0,0,0,0,0,0,0,45.705589294433594,43.6004524230957,43.18621826171875,46.069602966308594,44.32599639892578,42.8272819519043,40.8944206237793,40.69324493408203,43.50372314453125,42.30035400390625,46.312381744384766,45.36766052246094,15.00228500366211,8.804486274719238,5.0864691734313965,3.5087292194366455,2.966737985610962,1.579485297203064,1.1054410934448242,0.9462560415267944,11.30202579498291,34359738368,0,10123706368,0
104,1697704642053,0,0,0,0,0,0,0,0,0,0,45.705589294433594,43.6004524230957,43.18621826171875,46.069602966308594,44.32599639892578,42.8272819519043,40.8944206237793,40.69324493408203,43.50372314453125,42.30035400390625,46.31239318847656,45.36765670776367,15.002283096313477,8.804485321044922,5.086467742919922,3.5087287425994873,2.9667375087738037,1.5794850587844849,1.1054409742355347,0.9462558627128601,11.30202579498291,34359738368,0,10124443648,0
102,1697704642159,0,0,0,0,0,0,0,0,0,0,45.705589294433594,43.6004524230957,43.18621826171875,46.069602966308594,44.32599639892578,42.8272819519043,40.8944206237793,40.69324493408203,43.50372314453125,42.30035400390625,46.3123893737793,45.36764144897461,15.002300262451172,8.804472923278809,5.086461067199707,3.508723497390747,2.96673321723938,1.5794827938079834,1.1054394245147705,0.946254551410675,11.30202579498291,34359738368,0,10124623872,0
102,1697704642263,0,0,0,0,0,0,0,0,0,0,45.705589294433594,43.6004524230957,43.18621826171875,46.069602966308594,44.32599639892578,42.8272819519043,40.8944206237793,40.69324493408203,43.50372314453125,42.30035400390625,46.31233596801758,45.367584228515625,15.002279281616211,8.804461479187012,5.086453437805176,3.508718967437744,2.9667294025421143,1.579480767250061,1.105437994003296,0.94625324010849,11.30202579498291,34359738368,0,10124705792,0
104,1697704642367,0,0,0,0,0,0,0,0,0,0,45.62092208862305,43.36497497558594,43.09765625,45.954490661621094,44.12794494628906,42.89584732055664,40.39841079711914,40.692657470703125,43.49755096435547,42.48576354980469,46.312294006347656,45.3675422668457,15.002259254455566,8.804449081420898,5.086446762084961,3.508714199066162,2.9667251110076904,1.5794786214828491,1.1054363250732422,0.9462519288063049,11.30202579498291,34359738368,0,10124869632,0
103,1697704642472,0,0,0,0,0,0,0,0,0,0,45.62092208862305,43.36497497558594,43.09765625,45.954490661621094,44.12794494628906,42.89584732055664,40.39841079711914,40.692657470703125,43.49755096435547,42.48576354980469,46.3122444152832,45.367496490478516,15.002237319946289,8.804436683654785,5.086440086364746,3.50870943069458,2.9667210578918457,1.5794763565063477,1.1054348945617676,0.9462506771087646,11.30202579498291,34359738368,0,10124902400,0
102,1697704642576,0,0,0,0,0,0,0,0,0,0,45.62092208862305,43.36497497558594,43.09765625,45.954490661621094,44.12794494628906,42.89584732055664,40.39841079711914,40.692657470703125,43.49755096435547,42.48576354980469,46.312198638916016,45.36743927001953,15.002218246459961,8.804425239562988,5.086432933807373,3.508704423904419,2.966716766357422,1.5794743299484253,1.105433464050293,0.9462493658065796,11.30202579498291,34359738368,0,10124853248,0
102,1697704642679,0,0,0,0,0,0,0,0,0,0,45.62092208862305,43.36497497558594,43.09765625,45.954490661621094,44.12794494628906,42.89584732055664,40.39841079711914,40.692657470703125,43.49755096435547,42.48576354980469,46.31216049194336,45.36739730834961,15.002197265625,8.804413795471191,5.086426258087158,3.508700132369995,2.9667129516601563,1.5794720649719238,1.1054317951202393,0.9462480545043945,11.30202579498291,34359738368,0,10124853248,0
104,1697704642782,0,0,0,0,0,0,0,0,0,0,45.62092208862305,43.36497497558594,43.09765625,45.954490661621094,44.12794494628906,42.89584732055664,40.39841079711914,40.692657470703125,43.49755096435547,42.48576354980469,46.3121223449707,45.36734390258789,15.002176284790039,8.804401397705078,5.086419582366943,3.508694887161255,2.9667091369628906,1.5794700384140015,1.1054304838180542,0.946246862411499,12.007699012756348,34359738368,0,10124853248,0
103,1697704642887,0,0,0,0,0,0,0,0,0,0,45.62092208862305,43.36497497558594,43.09765625,45.954490661621094,44.12794494628906,42.89584732055664,40.39841079711914,40.692657470703125,43.49755096435547,42.48576354980469,46.31206512451172,45.36729049682617,15.002157211303711,8.804388999938965,5.08641242980957,3.508690357208252,2.966704845428467,1.5794677734375,1.1054288148880005,0.9462454319000244,12.007699012756348,34359738368,0,10124853248,0
