Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704797461,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.265228271484375,45.31981658935547,14.990751266479492,8.794644355773926,5.080475807189941,3.504678249359131,2.9633970260620117,1.5780519247055054,1.104619026184082,0.9455614686012268,11.306239128112793,34359738368,0,9983868928,0
109,1697704797461,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.265228271484375,45.31980514526367,14.990758895874023,8.79464340209961,5.080474376678467,3.5046770572662354,2.9633960723876953,1.5780518054962158,1.104619026184082,0.9455612897872925,11.306239128112793,34359738368,0,9984720896,0
109,1697704797572,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.265174865722656,45.31975555419922,14.990737915039063,8.794631004333496,5.080467224121094,3.5046722888946533,2.9633917808532715,1.5780495405197144,1.1046173572540283,0.9455598592758179,11.306239128112793,34359738368,0,9981804544,0
105,1697704797682,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.26514434814453,45.3197021484375,14.990716934204102,8.794618606567383,5.080460071563721,3.504667043685913,2.9633877277374268,1.578047275543213,1.1046156883239746,0.945558488368988,11.306239128112793,34359738368,0,9982001152,0
108,1697704797788,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.26508712768555,45.31965255737305,14.990694999694824,8.794605255126953,5.080453395843506,3.504661798477173,2.963383436203003,1.5780448913574219,1.1046141386032104,0.9455572962760925,12.034903526306152,34359738368,0,9982132224,0
104,1697704797897,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.26504135131836,45.31960678100586,14.990674018859863,8.79459285736084,5.080445766448975,3.50465726852417,2.963379144668579,1.5780426263809204,1.1046125888824463,0.9455558657646179,12.034903526306152,34359738368,0,9982050304,0
103,1697704798002,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.26499557495117,45.31955337524414,14.990654945373535,8.794581413269043,5.080438613891602,3.504652261734009,2.9633753299713135,1.578040599822998,1.1046111583709717,0.9455545544624329,12.034903526306152,34359738368,0,9982050304,0
107,1697704798106,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.26495361328125,45.31950759887695,14.990633964538574,8.794568061828613,5.080431938171387,3.504647731781006,2.9633712768554688,1.5780383348464966,1.1046096086502075,0.9455533623695374,12.034903526306152,34359738368,0,9982083072,0
106,1697704798214,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.2649040222168,45.319461822509766,14.990612983703613,8.794557571411133,5.080424785614014,3.504642963409424,2.963366985321045,1.5780363082885742,1.1046079397201538,0.9455519914627075,12.034903526306152,34359738368,0,9982083072,0
107,1697704798321,0,0,0,0,0,0,0,0,0,0,45.65509796142578,43.63367462158203,43.306175231933594,46.0338020324707,44.16131591796875,42.490028381347656,40.57142639160156,40.66725158691406,43.552162170410156,42.087867736816406,46.26487350463867,45.319427490234375,14.990605354309082,8.794544219970703,5.080417156219482,3.5046377182006836,2.9633629322052,1.5780339241027832,1.1046065092086792,0.9455505609512329,12.034903526306152,34359738368,0,9982083072,0
