Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697708321680,1465.578109741211,4700,1,0.30000000000000004,1153.947021484375,4700,1,0.30000000000000004,2342.9051513671875,4700,1,0.30000000000000004,1562.6343536376953,4700,1,0.30000000000000004,2142.092727661133,4700,1,0.30000000000000004,1504.9499816894531,4700,1,0.30000000000000004,1418.9881896972656,4700,1,0.30000000000000004,1897.6808776855469,4700,1,0.30000000000000004,1667.3102416992188,4700,1,0.30000000000000004,1704.4285583496094,4700,1,0.30000000000000004,1710.4071655273438,4700,1,0.30000000000000004,1403.6931457519531,4700,1,0.30000000000000004,2936598.5511016846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708321681,1465.5782928466797,4700,1,0.30000000000000004,1153.9616394042969,4700,1,0.30000000000000004,2342.905242919922,4700,1,0.30000000000000004,1562.6344909667969,4700,1,0.30000000000000004,2142.0928649902344,4700,1,0.30000000000000004,1504.9501190185547,4700,1,0.30000000000000004,1418.9883575439453,4700,1,0.30000000000000004,1897.6810150146484,4700,1,0.30000000000000004,1667.3103332519531,4700,1,0.30000000000000004,1704.4286499023438,4700,1,0.30000000000000004,1710.407241821289,4700,1,0.30000000000000004,1403.6932220458984,4700,1,0.30000000000000004,2936598.6575012207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708321781,1465.5811767578125,4700,1,0.29374999999999996,1153.980453491211,4700,1,0.29374999999999996,2342.9068298339844,4700,1,0.29374999999999996,1562.6358337402344,4700,1,0.29374999999999996,2142.094207763672,4700,1,0.29374999999999996,1504.9514617919922,4700,1,0.29374999999999996,1418.992919921875,4700,1,0.29374999999999996,1897.6833038330078,4700,1,0.29374999999999996,1667.3109893798828,4700,1,0.29374999999999996,1704.4293212890625,4700,1,0.29374999999999996,1710.4079132080078,4700,1,0.29374999999999996,1403.6938781738281,4700,1,0.29374999999999996,2936600.891571045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708321882,1465.5823059082031,4700,1,0.30000000000000004,1153.9954528808594,4700,1,0.30000000000000004,2342.908401489258,4700,1,0.30000000000000004,1562.6369171142578,4700,1,0.30000000000000004,2142.0952911376953,4700,1,0.30000000000000004,1504.9525451660156,4700,1,0.30000000000000004,1418.9942321777344,4700,1,0.30000000000000004,1897.6843872070313,4700,1,0.30000000000000004,1667.3129119873047,4700,1,0.30000000000000004,1704.4298553466797,4700,1,0.30000000000000004,1710.408447265625,4700,1,0.30000000000000004,1403.6953887939453,4700,1,0.30000000000000004,2936603.0923309326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708321982,1465.5836791992188,4700,1,0.30000000000000004,1154.0177001953125,4700,1,0.30000000000000004,2342.9100036621094,4700,1,0.30000000000000004,1562.6404724121094,4700,1,0.30000000000000004,2142.097427368164,4700,1,0.30000000000000004,1504.9561462402344,4700,1,0.30000000000000004,1418.9957580566406,4700,1,0.30000000000000004,1897.6857604980469,4700,1,0.30000000000000004,1667.3145599365234,4700,1,0.30000000000000004,1704.430648803711,4700,1,0.30000000000000004,1710.4097442626953,4700,1,0.30000000000000004,1403.6971893310547,4700,1,0.30000000000000004,2936605.3071289063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708322082,1465.5851440429688,4700,1,0.29374999999999996,1154.0297546386719,4700,1,0.29374999999999996,2342.9225311279297,4700,1,0.29374999999999996,1562.6417999267578,4700,1,0.29374999999999996,2142.103805541992,4700,1,0.29374999999999996,1504.95751953125,4700,1,0.29374999999999996,1419.0027160644531,4700,1,0.29374999999999996,1897.6920166015625,4700,1,0.29374999999999996,1667.3213806152344,4700,1,0.29374999999999996,1704.4384307861328,4700,1,0.29374999999999996,1710.4104919433594,4700,1,0.29374999999999996,1403.698013305664,4700,1,0.29374999999999996,2936607.5103759766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708322182,1465.5863037109375,4700,1,0.30000000000000004,1154.0303649902344,4700,1,0.30000000000000004,2342.946319580078,4700,1,0.30000000000000004,1562.6429901123047,4700,1,0.30000000000000004,2142.1048889160156,4700,1,0.30000000000000004,1504.9586486816406,4700,1,0.30000000000000004,1419.0039672851563,4700,1,0.30000000000000004,1897.693099975586,4700,1,0.30000000000000004,1667.3236541748047,4700,1,0.30000000000000004,1704.440170288086,4700,1,0.30000000000000004,1710.411148071289,4700,1,0.30000000000000004,1403.7005004882813,4700,1,0.30000000000000004,2936609.6564941406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708322283,1465.5877685546875,4700,1,0.30000000000000004,1154.0310974121094,4700,1,0.29374999999999996,2342.966339111328,4700,1,0.29374999999999996,1562.6444549560547,4700,1,0.30000000000000004,2142.106475830078,4700,1,0.30000000000000004,1504.96337890625,4700,1,0.30000000000000004,1419.0087585449219,4700,1,0.30000000000000004,1897.7022247314453,4700,1,0.30000000000000004,1667.3243865966797,4700,1,0.29374999999999996,1704.440902709961,4700,1,0.29374999999999996,1710.411880493164,4700,1,0.29374999999999996,1403.7012329101563,4700,1,0.29374999999999996,2936611.9419555664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708322383,1465.5888214111328,4700,1,0.30000000000000004,1154.0315551757813,4700,1,0.30000000000000004,2342.997543334961,4700,1,0.30000000000000004,1562.6453704833984,4700,1,0.30000000000000004,2142.107391357422,4700,1,0.30000000000000004,1504.9642639160156,4700,1,0.30000000000000004,1419.009750366211,4700,1,0.30000000000000004,1897.703109741211,4700,1,0.30000000000000004,1667.3248443603516,4700,1,0.30000000000000004,1704.4413604736328,4700,1,0.30000000000000004,1710.412338256836,4700,1,0.30000000000000004,1403.7016906738281,4700,1,0.30000000000000004,2936613.9945220947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
99,1697708322483,1465.5907287597656,4700,1,0.30000000000000004,1154.0326232910156,4700,1,0.29374999999999996,2343.0293731689453,4700,1,0.29374999999999996,1562.6471862792969,4700,1,0.29374999999999996,2142.128433227539,4700,1,0.29374999999999996,1504.9660186767578,4700,1,0.29374999999999996,1419.0230712890625,4700,1,0.29374999999999996,1897.7068176269531,4700,1,0.29374999999999996,1667.3260345458984,4700,1,0.29374999999999996,1704.4451904296875,4700,1,0.29374999999999996,1710.4132385253906,4700,1,0.29374999999999996,1403.7041778564453,4700,1,0.29374999999999996,2936616.486404419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6299054080,0
