Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697708241531,1460.8646240234375,4700,1,0.30000000000000004,1148.4421997070313,4700,1,0.30000000000000004,2336.312454223633,4700,1,0.30000000000000004,1559.7193756103516,4700,1,0.30000000000000004,2139.023971557617,4700,1,0.30000000000000004,1501.9622802734375,4700,1,0.30000000000000004,1416.3226165771484,4700,1,0.30000000000000004,1893.9163818359375,4700,1,0.30000000000000004,1661.1195068359375,4700,1,0.30000000000000004,1698.6065826416016,4700,1,0.30000000000000004,1705.9973907470703,4700,1,0.30000000000000004,1398.809799194336,4700,1,0.30000000000000004,2934851.875808716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307164160,0
99,1697708241531,1460.864761352539,4700,1,0.30000000000000004,1148.4622192382813,4700,1,0.30000000000000004,2336.3125915527344,4700,1,0.30000000000000004,1559.7195129394531,4700,1,0.30000000000000004,2139.024154663086,4700,1,0.30000000000000004,1501.962417602539,4700,1,0.30000000000000004,1416.32275390625,4700,1,0.30000000000000004,1893.9165496826172,4700,1,0.30000000000000004,1661.1195983886719,4700,1,0.30000000000000004,1698.6067962646484,4700,1,0.30000000000000004,1705.9975280761719,4700,1,0.30000000000000004,1398.8099060058594,4700,1,0.30000000000000004,2934852.0257873535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307164160,0
99,1697708241632,1460.8667602539063,4700,1,0.30000000000000004,1148.4919128417969,4700,1,0.30000000000000004,2336.3155517578125,4700,1,0.30000000000000004,1559.7213134765625,4700,1,0.30000000000000004,2139.0391845703125,4700,1,0.30000000000000004,1501.9645538330078,4700,1,0.30000000000000004,1416.3257598876953,4700,1,0.30000000000000004,1893.9187469482422,4700,1,0.30000000000000004,1661.1234130859375,4700,1,0.30000000000000004,1698.6207275390625,4700,1,0.30000000000000004,1705.9996490478516,4700,1,0.30000000000000004,1398.8115234375,4700,1,0.30000000000000004,2934854.5472564697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307164160,0
99,1697708241732,1460.8674621582031,4700,1,0.29374999999999996,1148.5120239257813,4700,1,0.30000000000000004,2336.325698852539,4700,1,0.30000000000000004,1559.7219543457031,4700,1,0.29374999999999996,2139.0398712158203,4700,1,0.30000000000000004,1501.9651947021484,4700,1,0.30000000000000004,1416.3266296386719,4700,1,0.30000000000000004,1893.9193878173828,4700,1,0.30000000000000004,1661.123779296875,4700,1,0.30000000000000004,1698.62109375,4700,1,0.30000000000000004,1706.000015258789,4700,1,0.30000000000000004,1398.8118896484375,4700,1,0.30000000000000004,2934856.499282837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307164160,0
99,1697708241832,1460.8688659667969,4700,1,0.29374999999999996,1148.5302734375,4700,1,0.29374999999999996,2336.3272857666016,4700,1,0.29374999999999996,1559.7232971191406,4700,1,0.29374999999999996,2139.041473388672,4700,1,0.29374999999999996,1501.9665832519531,4700,1,0.29374999999999996,1416.3279724121094,4700,1,0.29374999999999996,1893.9212493896484,4700,1,0.29374999999999996,1661.1244659423828,4700,1,0.29374999999999996,1698.6219024658203,4700,1,0.29374999999999996,1706.0007019042969,4700,1,0.29374999999999996,1398.8129272460938,4700,1,0.29374999999999996,2934858.6444244385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307164160,0
99,1697708241932,1460.8697662353516,4700,1,0.30000000000000004,1148.5483703613281,4700,1,0.30000000000000004,2336.328598022461,4700,1,0.30000000000000004,1559.7240905761719,4700,1,0.30000000000000004,2139.0422973632813,4700,1,0.30000000000000004,1501.9673614501953,4700,1,0.30000000000000004,1416.3287506103516,4700,1,0.30000000000000004,1893.9220428466797,4700,1,0.30000000000000004,1661.1254577636719,4700,1,0.30000000000000004,1698.6223449707031,4700,1,0.30000000000000004,1706.0011444091797,4700,1,0.30000000000000004,1398.8134765625,4700,1,0.30000000000000004,2934860.6316375732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307164160,0
99,1697708242032,1460.8705444335938,4700,1,0.29374999999999996,1148.5664978027344,4700,1,0.30000000000000004,2336.3299407958984,4700,1,0.30000000000000004,1559.724868774414,4700,1,0.29374999999999996,2139.0453186035156,4700,1,0.29374999999999996,1501.9681396484375,4700,1,0.30000000000000004,1416.3295288085938,4700,1,0.30000000000000004,1893.9269561767578,4700,1,0.30000000000000004,1661.1258850097656,4700,1,0.30000000000000004,1698.6227722167969,4700,1,0.30000000000000004,1706.0015563964844,4700,1,0.30000000000000004,1398.8139038085938,4700,1,0.30000000000000004,2934862.632019043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307164160,0
99,1697708242133,1460.8718719482422,4700,1,0.29374999999999996,1148.585189819336,4700,1,0.30000000000000004,2336.3311157226563,4700,1,0.30000000000000004,1559.7284545898438,4700,1,0.29374999999999996,2139.04736328125,4700,1,0.29374999999999996,1501.9695281982422,4700,1,0.30000000000000004,1416.3311157226563,4700,1,0.30000000000000004,1893.928695678711,4700,1,0.30000000000000004,1661.1265563964844,4700,1,0.30000000000000004,1698.6268615722656,4700,1,0.30000000000000004,1706.0022277832031,4700,1,0.30000000000000004,1398.816650390625,4700,1,0.30000000000000004,2934864.8855285645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307164160,0
99,1697708242233,1460.8744049072266,4700,1,0.30000000000000004,1148.6031188964844,4700,1,0.29374999999999996,2336.3335723876953,4700,1,0.29374999999999996,1559.7301330566406,4700,1,0.30000000000000004,2139.049758911133,4700,1,0.30000000000000004,1501.9735260009766,4700,1,0.29374999999999996,1416.3327941894531,4700,1,0.29374999999999996,1893.9322814941406,4700,1,0.29374999999999996,1661.127670288086,4700,1,0.29374999999999996,1698.6290740966797,4700,1,0.29374999999999996,1706.0044555664063,4700,1,0.29374999999999996,1398.8181457519531,4700,1,0.29374999999999996,2934867.281036377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307037184,0
99,1697708242333,1460.8755645751953,4700,1,0.29374999999999996,1148.6207275390625,4700,1,0.30000000000000004,2336.3352661132813,4700,1,0.30000000000000004,1559.7312774658203,4700,1,0.29374999999999996,2139.0510864257813,4700,1,0.29374999999999996,1501.9746704101563,4700,1,0.30000000000000004,1416.3339385986328,4700,1,0.30000000000000004,1893.9340515136719,4700,1,0.30000000000000004,1661.1282653808594,4700,1,0.30000000000000004,1698.6296691894531,4700,1,0.30000000000000004,1706.0050506591797,4700,1,0.30000000000000004,1398.8207702636719,4700,1,0.30000000000000004,2934869.3934631348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6307037184,0
