Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697705376900,0,0,0,0,0,0,0,0,0,0,0,0,38,38,36,38,37,37,24.252771377563477,0.970892608165741,4.5841264724731445,0.9556988477706909,18.97489356994629,0.9704763293266296,14.51899242401123,0.968395471572876,10.21393871307373,0.9647181034088135,8.21054744720459,0.959861159324646,10.176112174987793,17179869184,2147483648,8368283648,432537600
103,1697705376901,0,0,0,0,0,0,0,0,0,0,0,0,38,38,36,38,37,37,24.252805709838867,0.9708919525146484,4.584123611450195,0.9556981921195984,18.974937438964844,0.9704750180244446,14.51898193359375,0.9683941602706909,10.213932037353516,0.964717447757721,8.210541725158691,0.9598605632781982,10.176112174987793,17179869184,2147483648,8368775168,432537600
107,1697705377005,0,0,0,0,0,0,0,0,0,0,0,0,38,38,36,38,37,37,24.252914428710938,0.9708852767944336,4.584091663360596,0.9556909203529358,18.975221633911133,0.970468282699585,14.519021034240723,0.9683874249458313,10.214061737060547,0.9647101163864136,8.21048355102539,0.9598532915115356,10.176112174987793,17179869184,2147483648,8368775168,432537600
99,1697705377113,0,0,0,0,0,0,0,0,0,0,0,0,38,38,36,38,37,37,24.25314712524414,0.9709465503692627,4.584129333496094,0.9557529091835022,18.975505828857422,0.970460832118988,14.519187927246094,0.9683799743652344,10.214122772216797,0.9647034406661987,8.21056079864502,0.959846556186676,10.176112174987793,17179869184,2147483648,8368775168,432537600
102,1697705377213,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.253463745117188,0.9710091948509216,4.5847883224487305,0.9558844566345215,18.97599983215332,0.9705929160118103,14.519710540771484,0.9685120582580566,10.214675903320313,0.9648348093032837,8.211064338684082,0.9599779844284058,10.176112174987793,17179869184,2147483648,8368775168,432537600
108,1697705377316,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.25391960144043,0.9714180827140808,4.585450172424316,0.9563634991645813,18.97654914855957,0.9709330201148987,14.520293235778809,0.9689210057258606,10.215298652648926,0.9653131365776062,8.211688995361328,0.9604570269584656,10.176112174987793,17179869184,2147483648,8368775168,432537600
107,1697705377425,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.2542724609375,0.9714800119400024,4.585970401763916,0.9563568830490112,18.97683334350586,0.9710644483566284,14.520679473876953,0.9689829349517822,10.215845108032227,0.9653064608573914,8.212257385253906,0.9605190753936768,10.176112174987793,17179869184,2147483648,8368775168,432537600
104,1697705377533,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.25459098815918,0.9715426564216614,4.586559295654297,0.9564876556396484,18.977230072021484,0.971057653427124,14.521191596984863,0.9690449833869934,10.216190338134766,0.9653684496879578,8.212610244750977,0.9606505036354065,10.176112174987793,17179869184,2147483648,8368775168,432537600
109,1697705377638,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.255115509033203,0.9720903038978577,4.587287902832031,0.957036018371582,18.97773551940918,0.9716747403144836,14.521716117858887,0.9696619510650635,10.216813087463379,0.9659854769706726,8.213311195373535,0.9611295461654663,15.702749252319336,17179869184,2147483648,8368775168,432537600
101,1697705377747,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.25555419921875,0.9722223281860352,4.58781099319458,0.9572375416755676,18.978342056274414,0.9718754291534424,14.522298812866211,0.9697253108024597,10.217422485351563,0.9661862850189209,8.2138032913208,0.9614683389663696,15.702749252319336,17179869184,2147483648,8368775168,432537600
99,1697705377849,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.25599479675293,0.9723542928695679,4.5883307456970215,0.9573003053665161,18.978708267211914,0.9720761179924011,14.522743225097656,0.9699260592460632,10.217906951904297,0.9662495851516724,8.214302062988281,0.9615318179130554,15.702749252319336,17179869184,2147483648,8368775168,432537600
108,1697705377949,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.256397247314453,0.9724162817001343,4.588718891143799,0.9574317336082458,18.979188919067383,0.9721388220787048,14.5231294631958,0.9699192643165588,10.218390464782715,0.9663810133934021,8.214798927307129,0.9615250825881958,15.702749252319336,17179869184,2147483648,8926547968,432537600
103,1697705378058,0,0,0,0,0,0,0,0,0,0,0,0,54,55,53,55,50,51,24.25676727294922,0.9725476503372192,4.5893049240112305,0.9574938416481018,18.979598999023438,0.972132682800293,14.52357292175293,0.9700506925582886,10.218798637390137,0.966443657875061,8.215360641479492,0.961655855178833,15.702749252319336,17179869184,2147483648,9059926016,432537600
102,1697705378162,0,0,0,0,0,0,0,0,0,0,0,0,50,53,47,51,49,48,24.257137298583984,0.9725408554077148,4.589484214782715,0.957487165927887,18.979883193969727,0.9721939563751221,14.52362060546875,0.9700440168380737,10.21900463104248,0.9664363265037537,8.215581893920898,0.9616492390632629,15.702749252319336,17179869184,2147483648,9079820288,432537600
99,1697705378264,0,0,0,0,0,0,0,0,0,0,0,0,50,53,47,51,49,48,24.257091522216797,0.9725341796875,4.5895185470581055,0.9574805498123169,18.979877471923828,0.9722559452056885,14.523649215698242,0.970036506652832,10.219003677368164,0.966429591178894,8.21566390991211,0.9616425037384033,15.702749252319336,17179869184,2147483648,9082654720,432537600
109,1697705378364,0,0,0,0,0,0,0,0,0,0,0,0,50,53,47,51,49,48,24.25714683532715,0.9725273847579956,4.5895562171936035,0.9574739336967468,18.979827880859375,0.9722491502761841,14.52375602722168,0.9700298309326172,10.219064712524414,0.9664229154586792,8.21574592590332,0.9616358280181885,15.702749252319336,17179869184,2147483648,9085313024,432537600
107,1697705378475,0,0,0,0,0,0,0,0,0,0,0,0,50,53,47,51,49,48,24.25710105895996,0.9725199937820435,4.5895209312438965,0.9574665427207947,18.979808807373047,0.9722418189048767,14.523715019226074,0.9700223803520203,10.218993186950684,0.9664154648780823,8.215752601623535,0.9616285562515259,15.702749252319336,17179869184,2147483648,9085313024,432537600
99,1697705378583,0,0,0,0,0,0,0,0,0,0,0,0,50,53,47,51,49,48,24.257038116455078,0.9725125432014465,4.589486122131348,0.9574593305587769,18.979677200317383,0.9722343683242798,14.523673057556152,0.9700156450271606,10.218914985656738,0.9664081335067749,8.215689659118652,0.9616212248802185,15.702749252319336,17179869184,2147483648,9085313024,432537600
