Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697705416985,0,0,0,0,0,0,0,0,0,0,0,0,39,39,38,39,38,38,24.228811264038086,0.9729045629501343,4.586082458496094,0.9577528834342957,18.94759750366211,0.9724893569946289,14.498794555664063,0.9702066779136658,10.203533172607422,0.9668169617652893,8.20508098602295,0.9619036912918091,11.981879234313965,17179869184,2147483648,8484532224,432537600
103,1697705416985,0,0,0,0,0,0,0,0,0,0,0,0,39,39,38,39,38,38,24.22879409790039,0.9729031324386597,4.586079120635986,0.9577515721321106,18.94758415222168,0.9724887013435364,14.498784065246582,0.9702053666114807,10.203519821166992,0.9668156504631042,8.205202102661133,0.9619030356407166,11.981879234313965,17179869184,2147483648,8485277696,432537600
108,1697705417088,0,0,0,0,0,0,0,0,0,0,0,0,39,39,38,39,38,38,24.229026794433594,0.9728964567184448,4.586047649383545,0.9577449560165405,18.947786331176758,0.9724820256233215,14.498950958251953,0.9701986908912659,10.203587532043457,0.9668089151382446,8.205284118652344,0.9618964195251465,11.981879234313965,17179869184,2147483648,8499515392,432537600
99,1697705417197,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.229272842407227,0.9728897213935852,4.586151123046875,0.9577376842498779,18.94793128967285,0.9724745750427246,14.499128341674805,0.9701912999153137,10.203855514526367,0.966870129108429,8.205434799194336,0.9618890285491943,11.981879234313965,17179869184,2147483648,8521379840,432537600
99,1697705417297,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.229711532592773,0.9730213284492493,4.5867390632629395,0.9578700065612793,18.948410034179688,0.9726062417030334,14.499649047851563,0.9703914523124695,10.204415321350098,0.9670024514198303,8.206064224243164,0.9620208144187927,11.981879234313965,17179869184,2147483648,8588361728,432537600
102,1697705417398,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.230113983154297,0.973290741443634,4.58726692199707,0.9582779407501221,18.94884490966797,0.9729447960853577,14.50017261505127,0.9705929756164551,10.204967498779297,0.9673411250114441,8.20663070678711,0.9622915387153625,11.981879234313965,17179869184,2147483648,8708841472,432537600
99,1697705417500,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.230499267578125,0.9732839465141296,4.587785720825195,0.9582712054252625,18.949254989624023,0.9729387164115906,14.500615119934082,0.9706555008888245,10.205512046813965,0.9673343896865845,8.20712661743164,0.9624219536781311,11.981879234313965,17179869184,2147483648,8734654464,432537600
104,1697705417600,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.230815887451172,0.9733471274375916,4.588096618652344,0.9583337903022766,18.949594497680664,0.9730696678161621,14.500940322875977,0.9707179665565491,10.205994606018066,0.9674654603004456,8.207554817199707,0.9624159932136536,11.981879234313965,17179869184,2147483648,8771809280,432537600
100,1697705417706,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.23137664794922,0.9738932251930237,4.588756561279297,0.9590184092521667,18.95009994506836,0.9736157655715942,14.501590728759766,0.9712640047073364,10.20667839050293,0.9680128693580627,8.208189010620117,0.9630312919616699,11.709184646606445,17179869184,2147483648,8771809280,432537600
105,1697705417806,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.23171043395996,0.974094033241272,4.589278697967529,0.9591507911682129,18.950592041015625,0.9736789464950562,14.501974105834961,0.9715341329574585,10.20709228515625,0.9682137370109558,8.208755493164063,0.9632322192192078,11.709184646606445,17179869184,2147483648,8771809280,432537600
99,1697705417912,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.232078552246094,0.9740872979164124,4.589592456817627,0.9592127203941345,18.95100212097168,0.9737406969070435,14.502358436584473,0.9715266227722168,10.207366943359375,0.968207061290741,8.209177017211914,0.9632941484451294,11.709184646606445,17179869184,2147483648,8771809280,432537600
103,1697705418012,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.23239517211914,0.9742175936698914,4.590114593505859,0.9592745304107666,18.95142364501953,0.9738031625747681,14.502800941467285,0.9715206623077393,10.207850456237793,0.9683374166488647,8.209535598754883,0.9632874131202698,11.709184646606445,17179869184,2147483648,9059581952,432537600
100,1697705418116,0,0,0,0,0,0,0,0,0,0,0,0,48,47,43,44,41,40,24.232765197753906,0.9742799997329712,4.590494632720947,0.9592685699462891,18.951845169067383,0.9738662242889404,14.503185272216797,0.9715830683708191,10.208256721496582,0.9684005975723267,8.210095405578613,0.9634191393852234,11.709184646606445,17179869184,2147483648,9175273472,432537600
101,1697705418218,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.232959747314453,0.9742739796638489,4.590805530548096,0.9593997001647949,18.952116012573242,0.9739972352981567,14.503559112548828,0.9717133641242981,10.208601951599121,0.968393862247467,8.210453987121582,0.9634125232696533,11.709184646606445,17179869184,2147483648,9207656448,432537600
108,1697705418320,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.233051300048828,0.9743357300758362,4.590846061706543,0.9593930244445801,18.952123641967773,0.9739898443222046,14.503538131713867,0.9717066884040833,10.208600044250488,0.9683871865272522,8.210535049438477,0.9634057879447937,11.709184646606445,17179869184,2147483648,9198645248,432537600
108,1697705418429,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.233074188232422,0.974328339099884,4.590883731842041,0.9593857526779175,18.95218849182129,0.9739823341369629,14.50362491607666,0.9716992974281311,10.208660125732422,0.9683797955513,8.210617065429688,0.9633984565734863,11.709184646606445,17179869184,2147483648,9198645248,432537600
106,1697705418538,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.233028411865234,0.9743208885192871,4.590980529785156,0.9593784809112549,18.952112197875977,0.973975658416748,14.503524780273438,0.9716918468475342,10.20865249633789,0.9683724641799927,8.210555076599121,0.9633911848068237,11.709184646606445,17179869184,2147483648,9198645248,432537600
109,1697705418645,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.232982635498047,0.9743142127990723,4.590945720672607,0.9593711495399475,18.951980590820313,0.9739682078361511,14.503483772277832,0.9716851711273193,10.20858097076416,0.9683650135993958,8.210624694824219,0.9633837938308716,20.028833389282227,17179869184,2147483648,9198645248,432537600
106,1697705418755,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.232868194580078,0.9743067622184753,4.590910911560059,0.9593638777732849,18.951892852783203,0.9739608764648438,14.503433227539063,0.9716777801513672,10.208565711975098,0.9683576226234436,8.210561752319336,0.9633764624595642,20.028833389282227,17179869184,2147483648,9198645248,432537600
104,1697705418862,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.232769012451172,0.9742993116378784,4.590878963470459,0.9593572616577148,18.951887130737305,0.9739534258842468,14.50333309173584,0.9716703295707703,10.208495140075684,0.9683509469032288,8.21049976348877,0.9633691310882568,20.028833389282227,17179869184,2147483648,9198645248,432537600
102,1697705418967,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.232723236083984,0.9742925763130188,4.59084415435791,0.9593498706817627,18.95175552368164,0.9739466905593872,14.5032320022583,0.9716629981994629,10.208417892456055,0.9683435559272766,8.210442543029785,0.9633625149726868,20.028833389282227,17179869184,2147483648,9198645248,432537600
109,1697705419069,0,0,0,0,0,0,0,0,0,0,0,0,52,56,50,52,52,50,24.23269271850586,0.9742851257324219,4.5908122062683105,0.9593432545661926,18.951637268066406,0.9739392399787903,14.503131866455078,0.971656322479248,10.208346366882324,0.9683368802070618,8.210386276245117,0.9633557796478271,20.028833389282227,17179869184,2147483648,9202335744,432537600
103,1697705419179,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.23257827758789,0.9742777943611145,4.590777397155762,0.9593360424041748,18.95160484313965,0.9739325642585754,14.503081321716309,0.9716488122940063,10.208338737487793,0.9683294892311096,8.210323333740234,0.9633485078811646,20.028833389282227,17179869184,2147483648,9202823168,432537600
109,1697705419283,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.232479095458984,0.9743395447731018,4.590745449066162,0.9593286514282227,18.951488494873047,0.9739251136779785,14.50298023223877,0.9716421365737915,10.208261489868164,0.9683221578598022,8.210267066955566,0.9633411765098572,20.028833389282227,17179869184,2147483648,9202827264,432537600
102,1697705419393,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.23238182067871,0.9743320941925049,4.590710639953613,0.9593213796615601,18.951412200927734,0.9739177227020264,14.502928733825684,0.9716348052024841,10.208189964294434,0.9683148264884949,8.210268020629883,0.963333785533905,20.028833389282227,17179869184,2147483648,9203294208,432537600
109,1697705419495,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.232318878173828,0.9743253588676453,4.5906758308410645,0.95931476354599,18.951282501220703,0.973910927772522,14.502829551696777,0.9716280698776245,10.208112716674805,0.9683080911636353,8.210210800170898,0.963327169418335,20.028833389282227,17179869184,2147483648,9203699712,432537600
107,1697705419605,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.232202529907227,0.9743179082870483,4.590643882751465,0.9593074321746826,18.95113754272461,0.9739035964012146,14.502718925476074,0.9716206192970276,10.20803451538086,0.9683007597923279,8.210148811340332,0.9633198380470276,20.028833389282227,17179869184,2147483648,9203695616,432537600
107,1697705419713,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.232105255126953,0.974310576915741,4.590609073638916,0.95930016040802,18.95111846923828,0.9738961458206177,14.502687454223633,0.9716132879257202,10.20809555053711,0.9682933688163757,8.21008586883545,0.9633125066757202,53.780250549316406,17179869184,2147483648,9203695616,432537600
107,1697705419821,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.232057571411133,0.974303126335144,4.590574264526367,0.9592934250831604,18.950986862182617,0.9738887548446655,14.502586364746094,0.9716058969497681,10.208086967468262,0.9682866930961609,8.210029602050781,0.9633051156997681,53.780250549316406,17179869184,2147483648,9203695616,432537600
108,1697705419929,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.232011795043945,0.9742957353591919,4.590539455413818,0.9592862129211426,18.950843811035156,0.9738819599151611,14.50247573852539,0.9715984463691711,10.208016395568848,0.9682793021202087,8.209966659545898,0.963298499584198,53.780250549316406,17179869184,2147483648,9203695616,432537600
106,1697705420038,0,0,0,0,0,0,0,0,0,0,0,0,41,41,39,41,40,40,24.231897354125977,0.974288284778595,4.590504169464111,0.95927894115448,18.950712203979492,0.9738746285438538,14.502425193786621,0.9715911149978638,10.207938194274902,0.9682719707489014,8.209973335266113,0.9632911682128906,53.780250549316406,17179869184,2147483648,9203695616,432537600
106,1697705420147,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,40,39,24.23179817199707,0.9742816090583801,4.59047269821167,0.9592715501785278,18.95063591003418,0.9738671779632568,14.502326011657715,0.9715843796730042,10.207860946655273,0.9682645201683044,8.209917068481445,0.9632837772369385,53.780250549316406,17179869184,2147483648,9207562240,432537600
107,1697705420254,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,40,39,24.2316837310791,0.9742741584777832,4.590437412261963,0.9592642784118652,18.95054817199707,0.9738597869873047,14.502215385437012,0.9715769290924072,10.207783699035645,0.9682571291923523,8.209854125976563,0.9632765054702759,53.780250549316406,17179869184,2147483648,9208020992,432537600
108,1697705420362,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,40,39,24.23162078857422,0.9742667078971863,4.590403079986572,0.9592576622962952,18.95047378540039,0.9738523364067078,14.50217342376709,0.9715695977210999,10.207712173461914,0.9682497978210449,8.209792137145996,0.9632691740989685,53.780250549316406,17179869184,2147483648,9208504320,432537600
106,1697705420471,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,40,39,24.23172950744629,0.9742593169212341,4.590437412261963,0.9592503309249878,18.950536727905273,0.9738450050354004,14.502281188964844,0.9715621471405029,10.207773208618164,0.9682430624961853,8.209867477416992,0.9632618427276611,53.780250549316406,17179869184,2147483648,9231101952,432537600
