Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697705396955,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,37,24.241043090820313,0.9718983173370361,4.585590839385986,0.9567949175834656,18.96147918701172,0.9714146256446838,14.509007453918457,0.9693359732627869,10.208818435668945,0.9658015966415405,8.208148002624512,0.960883617401123,10.700434684753418,17179869184,2147483648,8451125248,432537600
106,1697705396955,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,37,24.241077423095703,0.9718976020812988,4.58558464050293,0.956794261932373,18.96147918701172,0.9714139699935913,14.50899887084961,0.9693353176116943,10.20881175994873,0.9658010005950928,8.208136558532715,0.9608821868896484,10.700434684753418,17179869184,2147483648,8451887104,432537600
99,1697705397062,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,38,37,24.241308212280273,0.9718908667564392,4.58561897277832,0.9567869901657104,18.961666107177734,0.9714065194129944,14.509105682373047,0.969327986240387,10.208809852600098,0.9657936096191406,8.208086013793945,0.9608755707740784,10.700434684753418,17179869184,2147483648,8472068096,432537600
99,1697705397162,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.241695404052734,0.9718841910362244,4.585864543914795,0.9567810297012329,18.962032318115234,0.971537709236145,14.509479522705078,0.9693211913108826,10.209078788757324,0.9657875895500183,8.20836353302002,0.9609375,10.700434684753418,17179869184,2147483648,8514199552,432537600
105,1697705397262,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.242151260375977,0.9720852375030518,4.586455821990967,0.9571201205253601,18.962581634521484,0.971669614315033,14.510003089904785,0.9695916175842285,10.209568977355957,0.9659887552261353,8.20893669128418,0.9611387848854065,10.700434684753418,17179869184,2147483648,8600940544,432537600
108,1697705397368,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.242538452148438,0.9724242687225342,4.5871171951293945,0.9574599266052246,18.96307373046875,0.9720092415809631,14.51058578491211,0.9699307680130005,10.210185050964355,0.966328501701355,8.209503173828125,0.9615477919578552,10.700434684753418,17179869184,2147483648,8674689024,432537600
100,1697705397477,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.24283790588379,0.9724175333976746,4.587428569793701,0.9574532508850098,18.963359832763672,0.9720704555511475,14.510899543762207,0.9699232578277588,10.210799217224121,0.9663211107254028,8.209994316101074,0.9615404605865479,10.700434684753418,17179869184,2147483648,8714489856,432537600
100,1697705397578,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.24341583251953,0.972756564617157,4.587882041931152,0.957793116569519,18.963851928710938,0.9724108576774597,14.51141357421875,0.9702630043029785,10.211220741271973,0.9666608572006226,8.210624694824219,0.9618802070617676,10.700434684753418,17179869184,2147483648,8765915136,432537600
107,1697705397678,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.24386978149414,0.9731662273406982,4.588542938232422,0.958270788192749,18.964399337768555,0.9728191494941711,14.511945724487305,0.970603346824646,10.211835861206055,0.9671391844749451,8.211196899414063,0.9622892141342163,12.376798629760742,17179869184,2147483648,8884396032,432537600
109,1697705397786,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.244171142578125,0.9732973575592041,4.588923454284668,0.958333432674408,18.96489143371582,0.9728816151618958,14.512330055236816,0.9708032011985779,10.212242126464844,0.9673389792442322,8.21161937713623,0.9624204635620117,12.376798629760742,17179869184,2147483648,8884396032,432537600
100,1697705397895,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.244487762451172,0.973359227180481,4.589304447174072,0.9583261013031006,18.965301513671875,0.9729435443878174,14.512755393981934,0.970795750617981,10.212788581848145,0.9673322439193726,8.2119722366333,0.9624138474464417,12.376798629760742,17179869184,2147483648,8884396032,432537600
103,1697705397996,0,0,0,0,0,0,0,0,0,0,0,0,50,61,51,54,50,51,24.244874954223633,0.9734910726547241,4.589896202087402,0.9584574103355408,18.96578025817871,0.9730060696601868,14.513208389282227,0.9708589911460876,10.213203430175781,0.9674641489982605,8.212539672851563,0.9625450968742371,12.376798629760742,17179869184,2147483648,9123352576,432537600
