Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697705517345,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.146936416625977,0.9722421169281006,4.5751423835754395,0.9577446579933167,18.863313674926758,0.9723108410835266,14.43145751953125,0.9697003364562988,10.159135818481445,0.9666775465011597,8.17391586303711,0.9617294073104858,10.76213550567627,17179869184,2147483648,8500170752,432537600
103,1697705517345,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.146989822387695,0.9722414612770081,4.575135707855225,0.9577439427375793,18.863300323486328,0.9723100662231445,14.431506156921387,0.9696989059448242,10.159135818481445,0.9666762351989746,8.173910140991211,0.9617280960083008,10.76213550567627,17179869184,2147483648,8500899840,432537600
100,1697705517449,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.14701271057129,0.9723020792007446,4.575170040130615,0.9577367305755615,18.863502502441406,0.9723034501075745,14.43154525756836,0.9696923494338989,10.159401893615723,0.966669499874115,8.17392349243164,0.9617214798927307,10.76213550567627,17179869184,2147483648,8521408512,432537600
100,1697705517550,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.147327423095703,0.9722954630851746,4.575275897979736,0.9577982425689697,18.863771438598633,0.9722967743873596,14.431778907775879,0.9696856141090393,10.159600257873535,0.9666628837585449,8.174066543579102,0.9617148637771606,10.76213550567627,17179869184,2147483648,8542396416,432537600
101,1697705517650,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.14777946472168,0.9722900390625,4.575862884521484,0.9578616619110107,18.864137649536133,0.9724954962730408,14.432229042053223,0.9698163866996765,10.160155296325684,0.9667936563491821,8.174566268920898,0.9618464112281799,10.284967422485352,17179869184,2147483648,8608358400,432537600
105,1697705517752,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.148231506347656,0.972626268863678,4.57645320892334,0.958334743976593,18.864625930786133,0.97276371717453,14.432689666748047,0.9700846076011658,10.160696983337402,0.9671299457550049,8.175191879272461,0.9621825814247131,10.284967422485352,17179869184,2147483648,8733032448,432537600
100,1697705517857,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.148548126220703,0.9726876616477966,4.5770368576049805,0.958396852016449,18.865032196044922,0.9727570414543152,14.433209419250488,0.9700778722763062,10.16110897064209,0.9671913385391235,8.175548553466797,0.9622447490692139,10.284967422485352,17179869184,2147483648,8733032448,432537600
100,1697705517959,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.148983001708984,0.972749650478363,4.577346324920654,0.9584589600563049,18.86546516418457,0.9728190302848816,14.433719635009766,0.9702079892158508,10.16145133972168,0.9672533869743347,8.175904273986816,0.9623068571090698,10.284967422485352,17179869184,2147483648,8733032448,432537600
104,1697705518060,0,0,0,0,0,0,0,0,0,0,0,0,39,39,37,38,37,37,24.149503707885742,0.9732927083969116,4.577936172485352,0.9590021371841431,18.866010665893555,0.9732933640480042,14.434366226196289,0.9707510471343994,10.162068367004395,0.9677964448928833,8.176597595214844,0.9628492593765259,10.284967422485352,17179869184,2147483648,8733032448,432537600
101,1697705518165,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.149871826171875,0.9734233617782593,4.57838249206543,0.9591322541236877,18.866430282592773,0.9734927415847778,14.43467903137207,0.9709497690200806,10.162747383117676,0.9679272770881653,8.177154541015625,0.9629807472229004,10.284967422485352,17179869184,2147483648,8733032448,432537600
103,1697705518267,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.150135040283203,0.9734847545623779,4.5789008140563965,0.9591943621635437,18.86676788330078,0.9735541343688965,14.435050010681152,0.970943808555603,10.163021087646484,0.9679886698722839,8.17744255065918,0.963042140007019,10.284967422485352,17179869184,2147483648,8733032448,432537600
107,1697705518370,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.150501251220703,0.9735468029975891,4.579415798187256,0.9591878652572632,18.86712074279785,0.9736155271530151,14.435431480407715,0.9710052013397217,10.163500785827637,0.9679819345474243,8.1777982711792,0.963035523891449,10.284967422485352,17179869184,2147483648,9023459328,432537600
103,1697705518479,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.15074920654297,0.9735400676727295,4.5796589851379395,0.9591812491416931,18.867389678955078,0.9736769199371338,14.435746192932129,0.9710665941238403,10.163905143737793,0.9680433869361877,8.17814826965332,0.9631650447845459,10.284967422485352,17179869184,2147483648,9152069632,432537600
105,1697705518583,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.150978088378906,0.9736695289611816,4.580173969268799,0.9592427015304565,18.867603302001953,0.9737389087677002,14.436117172241211,0.9711285829544067,10.164240837097168,0.9681734442710876,8.178436279296875,0.9631584286689758,10.284967422485352,17179869184,2147483648,9175408640,432537600
106,1697705518689,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.151206970214844,0.9736628532409668,4.5802083015441895,0.959235429763794,18.867666244506836,0.9737322330474854,14.436155319213867,0.9711212515830994,10.164369583129883,0.9681668281555176,8.17844295501709,0.9631518125534058,18.082252502441406,17179869184,2147483648,9175408640,432537600
105,1697705518795,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.151195526123047,0.9736554622650146,4.580176830291748,0.9592288136482239,18.867660522460938,0.9737248420715332,14.43618392944336,0.971113920211792,10.164299964904785,0.9681594371795654,8.178386688232422,0.9631444811820984,18.082252502441406,17179869184,2147483648,9175408640,432537600
109,1697705518901,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.15127182006836,0.9736487865447998,4.580145359039307,0.9592215418815613,18.867612838745117,0.9737181663513184,14.436152458190918,0.9711073040962219,10.164299011230469,0.9681528210639954,8.178393363952637,0.9631378650665283,18.082252502441406,17179869184,2147483648,9175408640,432537600
100,1697705519011,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.15115737915039,0.9736413955688477,4.580110549926758,0.9592142701148987,18.867595672607422,0.9737107753753662,14.436043739318848,0.9710999131202698,10.16422176361084,0.968145489692688,8.17833137512207,0.9631305932998657,18.082252502441406,17179869184,2147483648,9175408640,432537600
104,1697705519112,0,0,0,0,0,0,0,0,0,0,0,0,60,68,55,71,59,55,24.1511287689209,0.9736347198486328,4.580216407775879,0.9592077732086182,18.867589950561523,0.9737721681594849,14.43607234954834,0.9710932374000549,10.164214134216309,0.9681388735771179,8.178276062011719,0.9631920456886292,18.082252502441406,17179869184,2147483648,9175408640,432537600
103,1697705519217,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.151031494140625,0.9736273288726807,4.580182075500488,0.9592011570930481,18.867460250854492,0.9737654328346252,14.43596363067627,0.9710859656333923,10.164143562316895,0.9681316018104553,8.178282737731934,0.9631847739219666,18.082252502441406,17179869184,2147483648,9175408640,432537600
108,1697705519321,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.15098762512207,0.9736206531524658,4.580150604248047,0.9591938853263855,18.86733055114746,0.9737581014633179,14.435863494873047,0.9710792303085327,10.164135932922363,0.9681249260902405,8.17822551727295,0.9631781578063965,18.082252502441406,17179869184,2147483648,9175408640,432537600
108,1697705519429,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.150888442993164,0.9736132621765137,4.580115795135498,0.9591866135597229,18.867324829101563,0.973751425743103,14.435765266418457,0.9710718989372253,10.164058685302734,0.9681176543235779,8.1781644821167,0.9631708264350891,18.082252502441406,17179869184,2147483648,9178308608,432537600
108,1697705519538,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.15084457397461,0.9736059308052063,4.580081462860107,0.9591793417930603,18.867197036743164,0.9737440347671509,14.435725212097168,0.9710645079612732,10.163990020751953,0.9681102633476257,8.178102493286133,0.9631635546684265,18.082252502441406,17179869184,2147483648,9178845184,432537600
100,1697705519648,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.15078353881836,0.9735985398292542,4.580046653747559,0.9591721892356873,18.867053985595703,0.9737367033958435,14.435614585876465,0.9710571765899658,10.163912773132324,0.9681029319763184,8.178046226501465,0.9631562829017639,41.95555877685547,17179869184,2147483648,9178865664,432537600
107,1697705519749,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.150754928588867,0.9735918641090393,4.580015182495117,0.9591655731201172,18.866992950439453,0.9737299680709839,14.435574531555176,0.9710505604743958,10.163843154907227,0.9680963158607483,8.177984237670898,0.9631496667861938,41.95555877685547,17179869184,2147483648,9178865664,432537600
104,1697705519856,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.15058708190918,0.9735845327377319,4.579983711242676,0.9591589570045471,18.866905212402344,0.9737226366996765,14.435476303100586,0.9710432291030884,10.163765907287598,0.9680889844894409,8.177928924560547,0.9631423950195313,41.95555877685547,17179869184,2147483648,9178865664,432537600
100,1697705519962,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.15052604675293,0.9735779166221619,4.579948902130127,0.9591516852378845,18.866775512695313,0.9737152457237244,14.435367584228516,0.9710364937782288,10.1636962890625,0.9680823683738708,8.17786693572998,0.963135838508606,41.95555877685547,17179869184,2147483648,9178865664,432537600
102,1697705520063,0,0,0,0,0,0,0,0,0,0,0,0,43,43,40,43,40,40,24.15044593811035,0.9735711812973022,4.579983234405518,0.9591450691223145,18.866714477539063,0.9737085700035095,14.435267448425293,0.9710298776626587,10.163625717163086,0.9680757522583008,8.177809715270996,0.9631292223930359,41.95555877685547,17179869184,2147483648,9178865664,432537600
101,1697705520168,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.150470733642578,0.9735638499259949,4.579951763153076,0.9591379165649414,18.866710662841797,0.9737018346786499,14.435306549072266,0.9710225462913513,10.163686752319336,0.9680683612823486,8.177754402160645,0.9631219506263733,41.95555877685547,17179869184,2147483648,9178865664,432537600
107,1697705520271,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.150371551513672,0.9735571146011353,4.5799174308776855,0.9591313004493713,18.866580963134766,0.9736945033073425,14.43526554107666,0.9710158109664917,10.163617134094238,0.9680617451667786,8.177692413330078,0.9631153345108032,41.95555877685547,17179869184,2147483648,9178865664,432537600
103,1697705520379,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.150205612182617,0.9735497832298279,4.579885482788086,0.9591240286827087,18.866437911987305,0.9736877679824829,14.435155868530273,0.9710085391998291,10.163540840148926,0.9680544137954712,8.17763614654541,0.9631079435348511,41.95555877685547,17179869184,2147483648,9178865664,432537600
107,1697705520485,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.15021324157715,0.9735423922538757,4.579916477203369,0.9591174125671387,18.866390228271484,0.9736804366111755,14.435057640075684,0.9710012078285217,10.163463592529297,0.9680471420288086,8.17757511138916,0.9631006717681885,41.95555877685547,17179869184,2147483648,9183432704,432537600
107,1697705520593,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.150115966796875,0.9735357165336609,4.5798821449279785,0.9591101408004761,18.866357803344727,0.9736730456352234,14.434948921203613,0.9709944725036621,10.1633939743042,0.968040406703949,8.177513122558594,0.9630941152572632,41.95555877685547,17179869184,2147483648,9183903744,432537600
106,1697705520701,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.150001525878906,0.9735283255577087,4.579850673675537,0.959102988243103,18.866230010986328,0.973665714263916,14.434906959533691,0.9709871411323547,10.16331672668457,0.9680331945419312,8.17745590209961,0.9630868434906006,32.31143569946289,17179869184,2147483648,9183903744,432537600
103,1697705520808,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.150026321411133,0.9735209941864014,4.579819202423096,0.959096372127533,18.866153717041016,0.973659098148346,14.434877395629883,0.9709798693656921,10.163315773010254,0.968025803565979,8.177526473999023,0.963079571723938,32.31143569946289,17179869184,2147483648,9183903744,432537600
99,1697705520912,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.150066375732422,0.9735142588615417,4.579925060272217,0.9590891003608704,18.86623191833496,0.9736524224281311,14.43497371673584,0.9709731936454773,10.16343879699707,0.9680191874504089,8.177607536315918,0.9630729556083679,32.31143569946289,17179869184,2147483648,9183903744,432537600
101,1697705521013,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.15003776550293,0.9735076427459717,4.580028057098389,0.9590824842453003,18.866239547729492,0.9737136960029602,14.434944152832031,0.9709664583206177,10.163374900817871,0.9680125117301941,8.17755126953125,0.9630663394927979,32.31143569946289,17179869184,2147483648,9183903744,432537600
109,1697705521115,0,0,0,0,0,0,0,0,0,0,0,0,40,41,39,40,39,39,24.15007781982422,0.9735009670257568,4.579996109008789,0.9590759873390198,18.866304397583008,0.9737063050270081,14.43492317199707,0.9709598422050476,10.163442611694336,0.968005895614624,8.17756462097168,0.9630597233772278,32.31143569946289,17179869184,2147483648,9183903744,432537600
107,1697705521225,0,0,0,0,0,0,0,0,0,0,0,0,52,45,41,44,41,40,24.15015411376953,0.9734935760498047,4.579961776733398,0.9590687155723572,18.866230010986328,0.9736989736557007,14.435354232788086,0.9709525108337402,10.163564682006836,0.9679985046386719,8.17756462097168,0.9630524516105652,32.31143569946289,17179869184,2147483648,9183903744,432537600
107,1697705521333,0,0,0,0,0,0,0,0,0,0,0,0,52,45,41,44,41,40,24.150108337402344,0.9734862446784973,4.579996109008789,0.9591301679611206,18.866567611694336,0.9736923575401306,14.43531322479248,0.9710138440132141,10.163495063781738,0.9679912328720093,8.177572250366211,0.9630451202392578,32.31143569946289,17179869184,2147483648,9183903744,432537600
106,1697705521441,0,0,0,0,0,0,0,0,0,0,0,0,52,45,41,44,41,40,24.15001106262207,0.9734795689582825,4.57996129989624,0.959122896194458,18.866437911987305,0.9736849665641785,14.435273170471191,0.9710065126419067,10.16341781616211,0.9679845571517944,8.177515983581543,0.9630385041236877,32.31143569946289,17179869184,2147483648,9183903744,432537600
100,1697705521548,0,0,0,0,0,0,0,0,0,0,0,0,52,45,41,44,41,40,24.149898529052734,0.9734721779823303,4.579929828643799,0.9591156840324402,18.866308212280273,0.9736776351928711,14.435173988342285,0.9709991216659546,10.163341522216797,0.9679772853851318,8.177453994750977,0.9630312323570251,32.31143569946289,17179869184,2147483648,9232183296,432537600
101,1697705521649,0,0,0,0,0,0,0,0,0,0,0,0,52,45,41,44,41,40,24.149850845336914,0.9734655022621155,4.579898357391357,0.9591090679168701,18.866235733032227,0.9736709594726563,14.435074806213379,0.9709925651550293,10.1632719039917,0.967970609664917,8.177397727966309,0.9630246162414551,12.022857666015625,17179869184,2147483648,9232220160,432537600
104,1697705521751,0,0,0,0,0,0,0,0,0,0,0,0,52,45,41,44,41,40,24.149755477905273,0.9734587669372559,4.579863548278809,0.9591024518013,18.866161346435547,0.9736642241477966,14.434975624084473,0.9709858298301697,10.163270950317383,0.9679639935493469,8.17734146118164,0.963018000125885,12.022857666015625,17179869184,2147483648,9232683008,432537600
105,1697705521856,0,0,0,0,0,0,0,0,0,0,0,0,52,45,41,44,41,40,24.14960479736328,0.9734514355659485,4.579832553863525,0.9590952396392822,18.866031646728516,0.973657488822937,14.434935569763184,0.9709784984588623,10.163193702697754,0.9679566025733948,8.177285194396973,0.9630107283592224,12.022857666015625,17179869184,2147483648,9233158144,432537600
