Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704995367,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.601839065551758,0.9789764881134033,4.64713191986084,0.9617297053337097,19.338693618774414,0.9783350825309753,14.810958862304688,0.9751991629600525,10.408002853393555,0.971422553062439,8.361544609069824,0.9662910103797913,10.102021217346191,17179869184,2147483648,8466399232,432537600
100,1697704995367,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.601945877075195,0.9789751172065735,4.647125244140625,0.9617289304733276,19.338680267333984,0.978334367275238,14.810948371887207,0.97519850730896,10.407995223999023,0.9714211225509644,8.361532211303711,0.966290295124054,10.102021217346191,17179869184,2147483648,8468213760,432537600
102,1697704995468,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.60214614868164,0.97896808385849,4.647095680236816,0.9617221355438232,19.338842391967773,0.9783274531364441,14.811259269714355,0.9751914739608765,10.408134460449219,0.9714141488075256,8.361544609069824,0.9662827253341675,10.102021217346191,17179869184,2147483648,8458760192,432537600
102,1697704995572,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.602434158325195,0.9789612293243408,4.64734411239624,0.9617858529090881,19.339046478271484,0.9783910512924194,14.81151008605957,0.9751838445663452,10.40841007232666,0.9714072346687317,8.361699104309082,0.9662758708000183,10.102021217346191,17179869184,2147483648,8469880832,432537600
104,1697704995674,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.602846145629883,0.9790967106819153,4.647952079772949,0.9618509411811829,19.339479446411133,0.9785265922546387,14.81197452545166,0.9753194451332092,10.408976554870605,0.9715428352355957,8.36228084564209,0.9664114713668823,10.363592147827148,17179869184,2147483648,8469880832,432537600
103,1697704995779,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.603384017944336,0.9794453978538513,4.648628234863281,0.9624135494232178,19.340055465698242,0.978805422782898,14.812581062316895,0.9756689071655273,10.409543991088867,0.9719628691673279,8.362927436828613,0.9668322205543518,10.363592147827148,17179869184,2147483648,8469880832,432537600
101,1697704995883,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.60369110107422,0.9795096516609192,4.649165630340576,0.9624780416488647,19.340402603149414,0.9790108799934387,14.81310749053955,0.9757331609725952,10.409969329833984,0.9720978140830994,8.363361358642578,0.9669671654701233,10.363592147827148,17179869184,2147483648,8469880832,432537600
99,1697704995985,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.60408592224121,0.9795739054679871,4.649488925933838,0.9626129865646362,19.340763092041016,0.9790045022964478,14.81342887878418,0.9758679866790771,10.410322189331055,0.9720916152000427,8.363728523254395,0.9669609069824219,10.363592147827148,17179869184,2147483648,8469880832,432537600
101,1697704996085,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.604602813720703,0.9797807931900024,4.650025844573975,0.9628199338912964,19.341266632080078,0.9792113900184631,14.813965797424316,0.9760748744010925,10.410889625549316,0.9723696708679199,8.364311218261719,0.9673090577125549,10.363592147827148,17179869184,2147483648,8469880832,432537600
99,1697704996187,0,0,0,0,0,0,0,0,0,0,0,0,62,64,59,62,58,60,24.605070114135742,0.9800581932067871,4.650705337524414,0.9631693363189697,19.341840744018555,0.9795593023300171,14.81450080871582,0.9763530492782593,10.411449432373047,0.972718358039856,8.364892959594727,0.9675878882408142,10.363592147827148,17179869184,2147483648,8469880832,432537600
