Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704915168,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.649276733398438,0.9767919778823853,4.650769233703613,0.9597326517105103,19.401283264160156,0.9760744571685791,14.86176872253418,0.9731355309486389,10.438024520874023,0.9691937565803528,8.383234977722168,0.9640334844589233,10.452232360839844,17179869184,2147483648,8921116672,432537600
100,1697704915168,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.649276733398438,0.9767906069755554,4.650762557983398,0.9597312808036804,19.401268005371094,0.9760737419128418,14.8617582321167,0.9731348752975464,10.43807315826416,0.9691931009292603,8.383299827575684,0.9640321135520935,10.452232360839844,17179869184,2147483648,8921743360,432537600
100,1697704915269,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.649457931518555,0.9769255518913269,4.650801181793213,0.9597243666648865,19.401330947875977,0.9760667681694031,14.861793518066406,0.9731279015541077,10.438077926635742,0.969185471534729,8.383455276489258,0.9640251994132996,10.452232360839844,17179869184,2147483648,8936886272,432537600
104,1697704915369,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.64969253540039,0.9769185185432434,4.650767803192139,0.9597175121307373,19.401477813720703,0.9760597944259644,14.861891746520996,0.9731208682060242,10.438138961791992,0.9691784977912903,8.383532524108887,0.9640183448791504,10.452232360839844,17179869184,2147483648,8943022080,432537600
103,1697704915474,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.650161743164063,0.9769122004508972,4.651304244995117,0.9598533511161804,19.40198516845703,0.9761244058609009,14.8623685836792,0.9731855988502502,10.438637733459473,0.9693142175674438,8.383974075317383,0.9641540050506592,10.452232360839844,17179869184,2147483648,9016356864,432537600
101,1697704915578,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.650684356689453,0.9771912097930908,4.65191650390625,0.9600621461868286,19.402477264404297,0.9763318300247192,14.862969398498535,0.9734646677970886,10.439144134521484,0.9695940017700195,8.384624481201172,0.9644339084625244,10.452232360839844,17179869184,2147483648,9132859392,432537600
103,1697704915679,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.651151657104492,0.9772565960884094,4.652381420135498,0.9601269960403442,19.402925491333008,0.9763964414596558,14.863353729248047,0.9735293388366699,10.439563751220703,0.9696586728096008,8.385001182556152,0.9644986391067505,13.848832130432129,17179869184,2147483648,9132859392,432537600
100,1697704915783,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.65147590637207,0.9774631857872009,4.652921676635742,0.9603344202041626,19.403417587280273,0.9766037464141846,14.86382007598877,0.9737374186515808,10.440054893493652,0.9697951078414917,8.385580062866211,0.9647060036659241,13.848832130432129,17179869184,2147483648,9132859392,432537600
101,1697704915884,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.65201759338379,0.977958619594574,4.653532981872559,0.9608293175697327,19.403995513916016,0.9770985841751099,14.864431381225586,0.974303126335144,10.440631866455078,0.970361590385437,8.386236190795898,0.9651298522949219,13.848832130432129,17179869184,2147483648,9132859392,432537600
100,1697704915986,0,0,0,0,0,0,0,0,0,0,0,0,39,38,37,38,37,37,24.652414321899414,0.9781659841537476,4.654001235961914,0.9608933925628662,19.404428482055664,0.9772348999977112,14.864826202392578,0.9744395613670349,10.441051483154297,0.9704980254173279,8.386743545532227,0.965408980846405,13.848832130432129,17179869184,2147483648,9132859392,432537600
