Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704537756,1914.7435760498047,3400,0,1.00625,27990.57179260254,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4325515264,0
108,1697704537756,1914.757827758789,4250,0,1.34375,27990.640426635742,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4327084032,0
69,1697704537902,1940.2630767822266,3525,0,1.03125,27991.358963012695,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326711296,0
109,1697704537973,2339.350296020508,3525,0,1.0375,27991.719360351563,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326367232,0
110,1697704538082,2002.4828338623047,3525,0,1.0125000000000002,27992.26789855957,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326105088,0
109,1697704538193,2339.418716430664,3525,0,1.0375,27992.701919555664,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4325744640,0
110,1697704538303,2339.445358276367,3525,0,1.0125000000000002,27993.180740356445,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4325249024,0
109,1697704538413,2002.5340576171875,3525,0,1.0375,27993.599731445313,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4324937728,0
109,1697704538524,2339.4869995117188,3525,0,1.0125000000000002,27994.21044921875,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4336144384,0
109,1697704538633,2339.4987182617188,3525,0,1.0375,27994.6600189209,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4335804416,0
109,1697704538743,1940.4485626220703,3525,0,1.00625,27995.095977783203,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4335439872,0
108,1697704538852,1914.8509216308594,3525,0,1.01875,27995.58869934082,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4333228032,0
108,1697704538961,1940.502197265625,3525,0,1.00625,27996.07261657715,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332863488,0
109,1697704539070,2002.5865783691406,3525,0,1.0125000000000002,27996.593353271484,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332494848,0
109,1697704539179,2002.6070709228516,3525,0,1.0125000000000002,27997.048828125,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332126208,0
109,1697704539289,2339.593490600586,3525,0,1.0125000000000002,27997.537872314453,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331769856,0
108,1697704539399,2339.62744140625,3525,0,1.0125000000000002,27997.97723388672,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331409408,0
109,1697704539507,2119.8400268554688,3525,0,1.03125,27998.487731933594,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330774528,0
108,1697704539617,2339.6647033691406,3525,0,1.0125000000000002,27999.007904052734,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330364928,0
109,1697704539727,2002.6797332763672,3525,0,1.0375,27999.482986450195,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329996288,0
108,1697704539836,2339.6954345703125,3525,0,1.0125000000000002,27999.971221923828,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4333748224,0
109,1697704539945,2002.7070617675781,3525,0,1.0375,28000.406524658203,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4333379584,0
109,1697704540055,2339.7911376953125,3525,0,1.0125000000000002,28000.846450805664,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4333002752,0
110,1697704540165,1940.786605834961,3525,0,1.03125,28001.319595336914,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332593152,0
109,1697704540275,2339.8123321533203,3525,0,1.0375,28001.908721923828,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332220416,0
110,1697704540385,2339.8235778808594,3525,0,1.0125000000000002,28002.333770751953,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331847680,0
108,1697704540495,2002.7442321777344,3525,0,1.0375,28002.77508544922,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331479040,0
109,1697704540604,2002.7684020996094,3525,0,1.0375,28003.403732299805,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331134976,0
108,1697704540714,2002.7813720703125,3525,0,1.0375,28003.96026611328,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330713088,0
111,1697704540823,2339.8816833496094,3525,0,1.0125000000000002,28004.399642944336,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330356736,0
110,1697704540934,2002.8147735595703,3525,0,1.0125000000000002,28004.834564208984,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329988096,0
110,1697704541045,1915.0299530029297,3525,0,1.01875,28005.289489746094,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329611264,0
111,1697704541156,1915.0426788330078,3525,0,1.01875,28005.716522216797,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329238528,0
109,1697704541267,2339.978530883789,3525,0,1.0375,28006.215103149414,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4328697856,0
108,1697704541377,2310.670455932617,3525,0,1.0375,28006.64794921875,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4328325120,0
