Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704457480,2313.8582916259766,4250,0,1.3625,27547.67855834961,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4322832384,0
107,1697704457480,2313.8811645507813,4250,0,1.3125,27547.77163696289,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330668032,0
69,1697704457629,1916.0851135253906,3525,0,1.00625,27548.535446166992,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330889216,0
109,1697704457699,2088.90673828125,3525,0,1.05625,27548.85060119629,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332683264,0
108,1697704457808,2313.95751953125,3525,0,1.0375,27549.257919311523,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332331008,0
109,1697704457917,2298.7509002685547,3525,0,1.0375,27549.743194580078,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331937792,0
110,1697704458027,2313.9916229248047,3525,0,1.0125000000000002,27550.149154663086,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331560960,0
109,1697704458138,1900.2098999023438,3525,0,1.01875,27550.562698364258,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331184128,0
110,1697704458248,2314.0303802490234,3525,0,1.0125000000000002,27550.97886657715,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330803200,0
109,1697704458359,2298.7877044677734,3525,0,1.05625,27551.432357788086,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330430464,0
110,1697704458469,2314.055130004883,3525,0,1.0125000000000002,27551.958892822266,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4328202240,0
110,1697704458579,2314.0880126953125,3525,0,1.0125000000000002,27552.424682617188,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4327821312,0
109,1697704458690,2089.125198364258,3525,0,1.05625,27553.000442504883,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4327305216,0
108,1697704458800,1900.2596130371094,3525,0,1.01875,27553.44319152832,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326916096,0
110,1697704458908,2314.1558837890625,3525,0,1.0125000000000002,27553.893524169922,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326486016,0
109,1697704459019,2314.1887969970703,3525,0,1.0125000000000002,27554.425369262695,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326100992,0
108,1697704459129,2314.217056274414,3525,0,1.0125000000000002,27554.87452697754,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4325523456,0
109,1697704459238,2314.2532348632813,3525,0,1.0125000000000002,27555.33531188965,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4324884480,0
108,1697704459348,2298.8419494628906,3525,0,1.0375,27555.74969482422,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4324474880,0
110,1697704459456,2314.2981719970703,2820,1,0.86875,27556.212280273438,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4324114432,0
109,1697704459567,2314.3257751464844,3525,0,1.0125000000000002,27556.66046142578,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4323762176,0
110,1697704459677,2314.3467559814453,3525,0,1.0375,27557.100036621094,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4323221504,0
109,1697704459787,2314.3773040771484,3525,0,1.0125000000000002,27557.580108642578,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4322824192,0
109,1697704459897,1988.9904022216797,3525,0,1.0375,27558.026306152344,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4322299904,0
109,1697704460007,1900.3959503173828,3525,0,1.01875,27558.626678466797,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4320964608,0
109,1697704460117,2314.434280395508,3525,0,1.0125000000000002,27559.06658935547,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4320346112,0
110,1697704460227,2314.467819213867,3525,0,1.0125000000000002,27559.478713989258,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4319961088,0
110,1697704460338,2314.5039672851563,3525,0,1.0125000000000002,27559.93977355957,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4319342592,0
109,1697704460448,1989.0342712402344,3525,0,1.0125000000000002,27560.34996032715,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4318887936,0
110,1697704460558,2314.5684967041016,3525,0,1.0375,27560.86668395996,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4318457856,0
110,1697704460668,2314.602081298828,3525,0,1.0125000000000002,27561.285247802734,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4317827072,0
110,1697704460779,2314.6350708007813,3525,0,1.0375,27561.759506225586,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4317552640,0
110,1697704460889,2314.663619995117,3525,0,1.0375,27562.223114013672,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4317151232,0
108,1697704461001,2314.6959838867188,3525,0,1.0375,27562.753143310547,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4316516352,0
108,1697704461110,2314.7652130126953,2820,1,0.86875,27564.203002929688,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4327235584,0
109,1697704461218,1916.9777526855469,4250,0,1.31875,27565.424758911133,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329181184,0
108,1697704461328,1917.0150146484375,3525,0,1.00625,27566.387893676758,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4341305344,0
107,1697704461437,2090.0714111328125,4250,0,1.36875,27568.121032714844,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4361441280,0
110,1697704461544,2315.1839599609375,3525,0,1.0375,27569.0919342041,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4364013568,0
108,1697704461655,2315.241897583008,4250,0,1.33125,27569.95118713379,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4378087424,0
109,1697704461764,2299.213836669922,3525,0,1.05625,27570.797576904297,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4379152384,0
107,1697704461874,2315.4365844726563,4250,0,1.33125,27571.80128479004,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4380069888,0
107,1697704461982,2315.702178955078,3525,0,1.0375,27573.197006225586,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4403798016,0
109,1697704462090,2315.7266845703125,3525,0,1.0125000000000002,27573.735717773438,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4403707904,0
109,1697704462200,2090.404525756836,3525,0,1.05625,27574.2725982666,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4403556352,0
