Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704697527,2386.1790771484375,4250,0,1.3625,28807.757583618164,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4324790272,0
109,1697704697527,2386.198516845703,4250,0,1.35625,28807.834594726563,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4321308672,0
95,1697704697650,1985.0731658935547,3525,0,1.03125,28808.410705566406,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4322709504,0
110,1697704697746,2175.530746459961,3525,0,1.03125,28808.975219726563,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4323135488,0
111,1697704697857,2332.942428588867,3525,0,1.0375,28809.407592773438,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4324294656,0
108,1697704697969,1985.1444091796875,3525,0,1.00625,28809.82763671875,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326256640,0
109,1697704698078,2332.9654083251953,3525,0,1.0375,28810.273071289063,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4328079360,0
110,1697704698188,2386.328399658203,3525,0,1.0125000000000002,28810.668426513672,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329332736,0
110,1697704698299,2386.3438110351563,3525,0,1.0125000000000002,28811.20133972168,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4327989248,0
109,1697704698409,1941.3011627197266,3525,0,1.0375,28811.635055541992,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329803776,0
110,1697704698519,1941.32763671875,3525,0,1.0375,28812.093536376953,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331040768,0
110,1697704698630,2175.7427520751953,3525,0,1.03125,28812.619247436523,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330737664,0
108,1697704698741,1985.3199920654297,3525,0,1.03125,28813.08381652832,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330782720,0
111,1697704698850,1941.364517211914,3525,0,1.01875,28813.65948486328,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330598400,0
110,1697704698962,2026.1852569580078,3525,0,1.0125000000000002,28814.10580444336,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330434560,0
109,1697704699072,2386.5274200439453,3525,0,1.0125000000000002,28814.659866333008,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4334034944,0
108,1697704699182,2386.589813232422,3525,0,1.0125000000000002,28815.065704345703,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4333670400,0
110,1697704699291,1985.4263916015625,3525,0,1.00625,28815.437622070313,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4333305856,0
109,1697704699402,1985.4643859863281,3525,0,1.00625,28815.93113708496,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332810240,0
111,1697704699512,2386.658966064453,3525,0,1.0125000000000002,28816.385803222656,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332445696,0
108,1697704699624,2026.2333984375,3525,0,1.0375,28816.86637878418,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4332085248,0
111,1697704699732,2026.2536010742188,3525,0,1.0125000000000002,28817.27359008789,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331823104,0
108,1697704699843,2386.733108520508,3525,0,1.0125000000000002,28817.714126586914,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331450368,0
109,1697704699952,2026.269515991211,3525,0,1.0125000000000002,28818.18586730957,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4331085824,0
109,1697704700063,2386.772445678711,3525,0,1.0125000000000002,28818.651947021484,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330237952,0
111,1697704700173,1985.6127319335938,3525,0,1.00625,28819.070343017578,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4330029056,0
109,1697704700284,2386.8077850341797,3525,0,1.0125000000000002,28819.47850036621,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329938944,0
108,1697704700394,2386.825180053711,3525,0,1.0375,28819.881805419922,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329668608,0
108,1697704700503,2386.853759765625,3525,0,1.0125000000000002,28820.427017211914,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4329304064,0
109,1697704700612,2386.8861389160156,3525,0,1.0125000000000002,28820.905685424805,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4328939520,0
109,1697704700721,1985.7176818847656,3525,0,1.00625,28821.332061767578,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4328558592,0
109,1697704700831,2026.3432312011719,3525,0,1.0125000000000002,28821.726135253906,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4328194048,0
109,1697704700941,2026.3514251708984,3525,0,1.0125000000000002,28822.115478515625,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4327825408,0
109,1697704701051,2176.4288024902344,3525,0,1.03125,28822.71987915039,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4327424000,0
109,1697704701161,1941.561050415039,3525,0,1.01875,28823.182556152344,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4327059456,0
110,1697704701270,2176.5157012939453,3525,0,1.03125,28823.656478881836,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326694912,0
108,1697704701381,2387.0382385253906,3525,0,1.0125000000000002,28824.075134277344,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4326129664,0
111,1697704701490,2176.5745391845703,3525,0,1.05625,28824.537811279297,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4325765120,0
109,1697704701601,1985.9163970947266,3525,0,1.00625,28825.062545776367,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4325400576,0
110,1697704701711,2387.130813598633,3525,0,1.0125000000000002,28825.47821044922,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4325036032,0
111,1697704701822,2387.1534881591797,3525,0,1.0125000000000002,28825.873962402344,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4324671488,0
109,1697704701933,2333.2625732421875,3525,0,1.0375,28826.272521972656,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4324175872,0
109,1697704702043,2387.168975830078,3525,0,1.0375,28826.684860229492,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4323807232,0
110,1697704702153,1941.6575622558594,3525,0,1.01875,28827.169052124023,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4323442688,0
109,1697704702264,2387.232894897461,3525,0,1.0125000000000002,28827.564071655273,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4323078144,0
