Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704297412,2267.2264556884766,4250,0,1.3625,26725.59181213379,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4300210176,0
102,1697704297412,2267.245651245117,4250,0,1.35625,26725.663330078125,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4297363456,0
70,1697704297554,1963.6139678955078,3525,0,1.0375,26726.356842041016,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4295143424,0
109,1697704297624,2273.311996459961,3525,0,1.0375,26726.739166259766,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4294615040,0
110,1697704297734,2028.9545135498047,3525,0,1.03125,26727.164505004883,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4294230016,0
109,1697704297845,2267.333786010742,3525,0,1.0125000000000002,26727.59117126465,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4293849088,0
109,1697704297955,2267.3892669677734,3525,0,1.0375,26728.07731628418,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4293472256,0
110,1697704298065,2273.3604583740234,3525,0,1.05625,26728.548400878906,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4292841472,0
110,1697704298176,1963.6521301269531,3525,0,1.0125000000000002,26728.946716308594,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4292464640,0
109,1697704298287,1963.6605224609375,3525,0,1.0125000000000002,26729.383209228516,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4292616192,0
108,1697704298397,1963.6846008300781,3525,0,1.0125000000000002,26729.82029724121,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4293910528,0
109,1697704298506,2273.4039001464844,3525,0,1.0375,26730.34309387207,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4294713344,0
109,1697704298616,2267.5258178710938,3525,0,1.0125000000000002,26730.738357543945,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4300288000,0
109,1697704298726,2267.5523986816406,3525,0,1.0125000000000002,26731.178451538086,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4302004224,0
109,1697704298836,1963.7078704833984,3525,0,1.0125000000000002,26731.59605407715,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4303716352,0
110,1697704298945,1963.7219696044922,3525,0,1.0125000000000002,26732.13020324707,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4303720448,0
109,1697704299056,2267.623245239258,3525,0,1.0125000000000002,26732.589553833008,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4306616320,0
109,1697704299166,2273.4630279541016,3525,0,1.0375,26733.00685119629,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4306378752,0
109,1697704299275,2267.6788024902344,3525,0,1.0125000000000002,26733.382400512695,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4306001920,0
110,1697704299385,1963.7679290771484,3525,0,1.0375,26733.793884277344,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4305608704,0
109,1697704299496,2267.701156616211,3525,0,1.0125000000000002,26734.198348999023,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4305211392,0
110,1697704299606,2273.5,3525,0,1.0375,26734.736083984375,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4304683008,0
109,1697704299717,2267.7396392822266,3525,0,1.0125000000000002,26735.146118164063,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4304306176,0
110,1697704299827,2267.752960205078,3525,0,1.0125000000000002,26735.559524536133,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4303929344,0
109,1697704299938,1963.8020629882813,3525,0,1.0125000000000002,26735.97901916504,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4303552512,0
